ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
182,STARRY: Spatial-Temporal Action-Centric World Modeling for Robotic Manipulation,2026,arXiv (Cornell University),n/a,n/a,n/a,2604.26848,2026-04-29,source metadata publication date for arXiv 2604.26848,10.48550/arXiv.2604.26848,OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,manual full-text/arXiv audit: cites RoboTwin 2.0 arXiv seed; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin-2.0; term match: Robotwin 2.0,manual-citation,https://openalex.org/W7159734359; OpenAlex: W7159734359,reports-results,robotwin2-easy; robotwin2-hard,50 demonstrations per task under the Clean setting and 500 demonstrations per task under the Randomized setting.,"Table 2 and Appendix Table 6 report RoboTwin 2.0 average success rates in percent over all 50 tasks. STARRY/Ours reports 93.82% Clean and 93.30% Randomized, versus LingBot-VA 92.93%/91.55%, Motus 88.66%/87.02%, X-VLA 72.80%/72.84%, pi0.5 62.86%/60.30%, pi0 65.92%/58.40%, and GO-1 37.80%/36.24%.",93.82,93.3,,,,,92.93,LingBot-VA,91.55,LingBot-VA,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2604.26848.txt. Section 4.1 and Table 2 report Clean and Randomized RoboTwin 2.0 results; Appendix B.2/Table 6 gives complete 50-task results. The text states 50 Clean and 500 Randomized demonstrations per task.,high,not-found,,"subagent checkpoint audit weights_batch_05.json: The STARRY paper reports 93.82/93.30 RoboTwin 2.0 results across 50 tasks, but the arXiv text did not expose a project, code, Hugging Face, or checkpoint link. Exact-title web searches and Hugging Face searches found the arXiv/secondary paper pages but no official public weight artifacts.",medium,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2604.26848.txt. Section 4.1 and Table 2 report Clean and Randomized RoboTwin 2.0 results; Appendix B.2/Table 6 gives complete 50-task results. The text states 50 Clean and 500 Randomized demonstrations per task.,high,official-ish,"Reports RoboTwin 2.0 Clean and Randomized success-rate averages over all 50 tasks, matching the standard Easy/Clean and Hard/Randomized evaluation."
183,StarVLA: A Lego-like Codebase for Vision-Language-Action Model Developing,2026,ArXiv.org,n/a,n/a,n/a,2604.05014,2026-04-06,source metadata publication date for arXiv 2604.05014,10.48550/arXiv.2604.05014,OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,term match: RoboTwin 2.0; term match: RoboTwin-2.0; term match: Robotwin 2.0,term-only,"https://openalex.org/W7152933892; OpenAlex: W7152933892; Subagent term-status evidence: Official/cached arXiv text mentions RoboTwin 2.0, but the live RoboTwin 2.0 citation in the source points to chen2025robotwin2 / arXiv:2504.13059. The source contains an unused bib entry for arXiv:2506.18088, but no text citation to that seed was found.",reports-results,robotwin2-clean; robotwin2-random,not reported,"Table 7 reports RoboTwin 2.0 Clean/Random success: pi0 65.9/58.4, pi0.5 82.7/76.8, X-VLA 72.9/72.8, Lingbot-VLA 88.6/86.7, StarVLA-FAST 72.5/83.2, StarVLA-OFT 88.2/88.3, StarVLA-GR00T 88.0/88.5, and StarVLA-pi 88.1/88.8. Table 9 also reports specialist/generalist RoboTwin 2.0 clean/random results.",,,,,,,88.6,Lingbot-VLA,86.7,Lingbot-VLA,2026-05-11 second-pass arXiv HTML table audit: Table 7 and Table 9 report RoboTwin 2.0 Clean/Random results; citation points to the CVPR RoboTwin version rather than seed 2506.18088.,high,weight-but-not-for-number,https://huggingface.co/StarVLA,"2026-05-11 second-pass StarVLA README/model-zoo audit found released StarVLA models/checkpoints, but the public model zoo did not identify a checkpoint tied directly to the reported RoboTwin 2.0 table numbers.",medium,"2026-05-11 second-pass full-text audit: StarVLA reports quantitative RoboTwin 2.0 Clean/Random benchmark results, while formal citation status remains term-only because its cited RoboTwin key maps to arXiv:2504.13059 rather than 2506.18088.",high,official-ish,"Reports RoboTwin 2.0 Clean/Random success-rate tables, which match the standard Clean/Easy and Randomized/Hard benchmark evaluation surface."
184,StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,2026,ArXiv.org,n/a,n/a,n/a,2604.11757,2026-04-13,source metadata publication date for arXiv 2604.11757,10.48550/arXiv.2604.11757,OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Easy; OpenAlex term search: RoboTwin 2.0 Hard; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; OpenAlex term search: github.com/RoboTwin-Platform/RoboTwin,term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Hard; term match: RoboTwin 2.0 Randomized; term match: RoboTwin-2.0; term match: Robotwin 2.0; term match: github.com/RoboTwin-Platform/RoboTwin,term-only,"https://openalex.org/W7154540229; OpenAlex: W7154540229; Subagent term-status evidence: Cached arXiv source/text repeatedly evaluates on RoboTwin 2.0, but the cited key chen2025robotwin2 maps to arXiv:2504.13059, not the RoboTwin 2.0 seed arXiv:2506.18088; no seed citation was found.",reports-results,robotwin2-clean; robotwin2-clean+random; robotwin2-random; robotwin2-easy; robotwin2-hard,not reported,"Table 1 reports RoboTwin 2.0 clean / clean+random / random success: pi0 46.42/65.9/58.4, pi0.5 60.2/82.7/76.8, StarVLA-alpha 50.3/88.2/88.3, and StarVLA-alpha Generalist -/88.7/87.8. Table 15 reports StarVLA-alpha specialist task-level Easy/Hard results with averages 88.2 Easy and 88.3 Hard.",88.2,88.3,60.2,pi0.5,,,82.7,pi0.5,76.8,pi0.5,2026-05-11 second-pass arXiv HTML table audit: Table 1 reports benchmark-level RoboTwin 2.0 columns and Table 15 reports task-level Easy/Hard averages; citation points to the CVPR RoboTwin version rather than seed 2506.18088.,high,weight-but-not-for-number,https://huggingface.co/StarVLA,"2026-05-11 second-pass StarVLA README/model-zoo audit found released StarVLA models/checkpoints, but the public model zoo did not identify a checkpoint tied directly to the reported RoboTwin 2.0 Easy/Hard table numbers.",medium,"2026-05-11 second-pass full-text audit: StarVLA-alpha reports quantitative RoboTwin 2.0 results including Easy/Hard task-level averages, while formal citation status remains term-only because its cited RoboTwin key maps to arXiv:2504.13059 rather than 2506.18088.",high,official-ish,"Reports RoboTwin 2.0 Easy/Hard task-level averages and Clean/Random benchmark columns, matching the standard success-rate protocol."
185,Steering Vision-Language-Action Models as Anti-Exploration: A Test-Time Scaling Approach,2025,ArXiv.org,n/a,n/a,n/a,2512.02834,2025-12-02,source metadata publication date for arXiv 2512.02834,10.48550/arxiv.2512.02834,OpenAlex term search: RoboTwin2.0; arXiv term search: RoboTwin2.0,subagent full-text audit: cites RoboTwin 2.0 arXiv seed; term match: RoboTwin2.0,manual-citation,"https://openalex.org/W4417009998; OpenAlex: W4417009998; Subagent term-status evidence: Official arXiv source cites Robotwin2.0 with key robotwin2 in experiment setup and appendix; paper.bib maps robotwin2 to 'Robotwin 2.0: A scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation', arXiv:2506.18088.",reports-results,robotwin2-random-scenes,not reported,"Table 3 reports Robotwin2.0 task success rates (%) over randomly generated scenes. Aggregate averages: RDT 34.6, pi0.5 59.3, and pi0.5 + TACO 64.0 (+4.7). Each task is tested across 100 randomly generated scenes with 100 seeds and 50 candidate actions.",,,,,,,,,,,"2026-05-11 term/status audit: Table 3 is Robotwin2.0 over randomly generated scenes, 100 seeds, and 50 candidate actions; it is not an Easy/Hard split.",high,claimed-no-download-link,,"Paper/project text claims weights/checkpoints/models are available or released, but the audit found no actual public checkpoint download path tied to the reported RoboTwin number.",medium,"2026-05-11 term/status audit: Table 3 is Robotwin2.0 over randomly generated scenes, 100 seeds, and 50 candidate actions; it is not an Easy/Hard split.",high,otherwise,"Reports randomly generated Robotwin2.0 scenes with a custom 50-candidate-action test-time setup, not a standard Easy/Clean or Hard/Randomized aggregate."
186,StraTA: Incentivizing Agentic Reinforcement Learning with Strategic Trajectory Abstraction,2026,preprint/unknown,n/a,n/a,n/a,2605.06642,2026-05-07,source metadata publication date for arXiv 2605.06642,10.48550/arXiv.2605.06642,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/2e583a01c9020cf5a30a3148027ecf51307fecbc; Semantic Scholar: 2e583a01c9020cf5a30a3148027ecf51307fecbc,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv PDF text for 2605.06642; snippet: rning with Strategic Trajectory Abstraction Chao Wang, Cheng Zhu, et al. Minimax-m1: Scaling test-time compute efficiently with lightning attention. arXiv preprint arXiv:2506.13585, 2025a. Tianxing Chen, Zanxin Chen, Baijun Chen, Zijian Cai, Yibin Liu, Zixuan Li, Qiwei Liang, Xianliang Lin, Yiheng Ge, Zhenyu Gu, et al. Robotwin 2.0: A scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation. arXiv preprint arXiv:2506.18088, 2025b. Gheorghe Comanici, Eric Bieber, Mike Schaekermann, Ice Pasupat, Noveen Sachdeva, Inderjit Dhillon, Marcel Blistein, Ori Ram, Dan Zhang, Evan Rosen, et al....",medium,,
187,StreamVLA: Breaking the Reason-Act Cycle via Completion-State Gating,2026,arXiv.org,n/a,n/a,n/a,2602.01100,2026-02-01,source metadata publication date for arXiv 2602.01100,10.48550/arXiv.2602.01100,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/17fcc2b1136f19af317101e8a22dbd1a5fec9f57; Semantic Scholar: 17fcc2b1136f19af317101e8a22dbd1a5fec9f57; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,"Table II reports average success rates (%) on RoboTwin 2.0: RDT 55.0 Easy / 26.0 Hard, ACT 50.8 / 7.4, DP3 65.8 / 10.0, pi0 55.6 / 25.1, pi0.5 62.7 / 33.8, StreamVLA 71.3 / 37.2. Table IV ablates StreamVLA on RoboTwin-Hard: full 37.2, w/o gating 38.1, w/o System2 33.8, w/o visual imagination 35.4, w/o textual planning 34.6, fixed-step prediction 35.7.",71.3,37.2,,,,,,,,,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2602.01100, Section IV-B2 and Table II: comparison on RoboTwin 2.0 with representative dual-arm tasks, 100 trials per task, Easy and Hard variants; Table II lists success rates in percent and StreamVLA averages 71.3 Easy and 37.2 Hard.",high,not-found,,"subagent checkpoint audit weights_batch_06.json: StreamVLA reports RoboTwin 2.0 performance in arXiv 2602.01100, but the paper/abstract did not expose a project, code, Hugging Face, ModelScope, release, or checkpoint URL. Exact StreamVLA searches on Hugging Face and GitHub did not surface an official/public model artifact tied to the RoboTwin result.",medium,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2602.01100, Section IV-B2 and Table II: comparison on RoboTwin 2.0 with representative dual-arm tasks, 100 trials per task, Easy and Hard variants; Table II lists success rates in percent and StreamVLA averages 71.3 Easy and 37.2 Hard.",high,otherwise,"2026-05-23 xhigh protocol recheck: StreamVLA reports Easy/Hard success on representative selected RoboTwin 2.0 tasks, not a full standard 50-task Easy/Clean or Hard/Randomized aggregate."
188,Survey of Vision-Language-Action Models for Embodied Manipulation,2025,arXiv.org,n/a,n/a,n/a,2508.15201,2025-08-21,source metadata publication date for arXiv 2508.15201,10.48550/arXiv.2508.15201,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/4f157904d3f624c018d09dec7d9e95278a2e6f9e; Semantic Scholar: 4f157904d3f624c018d09dec7d9e95278a2e6f9e,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,cached arXiv PDF text for 2508.15201; snippet: 提。 SynGrasp-1B [115] 是针对抓取任务，在 Issac Sim 仿 加州大学伯克利分校联合斯坦福大学等机构发布的 真平台上构建的 10B 帧规模的机器人数据集，其中 Bridge 数据集 [119] ，旨在验证跨领域数据复用能否 包含 10k 个物体实例，涵盖 240 个类别，并采用光 提升机器人泛化能力，为通用 VLA 模型奠定数据 线追踪渲染和大范围域随机化，确保视觉和几何变 基础，之后对该数据进行了升级，增加了语言指令， 化的广泛覆盖。RoboTwin2.0 [116] 利用多模态大型 轨迹数量和任务种类 [120] 。此外，斯坦福大学、加州 语言模型和仿真在环的反馈机制，构建了一个自动 大学伯克利分校等 13 家国际知名机构联合创建的 化的数据生成流程，能够自动生成高质量、专家级 大规模机器人操作数据集 DROID [121] ，包含 76k 条 别的机器人操作轨迹。该工作也发布了面向双臂操 表 2: 数据,medium,,
189,SwiftVLA: Unlocking Spatiotemporal Dynamics for Lightweight VLA Models at Minimal Overhead,2025,arXiv.org,n/a,n/a,n/a,2512.00903,2025-11-30,source metadata publication date for arXiv 2512.00903,10.48550/arXiv.2512.00903,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/30a09a717eddebe814b6c497f0099c477f86c149; Semantic Scholar: 30a09a717eddebe814b6c497f0099c477f86c149; S2 citation contexts available,reports-results,robotwin2,not reported,"Table 1 reports RoboTwin 2.0 success rate and trajectory length over horizon groups. SwiftVLA reports average success 0.53, and SwiftVLA+4D reports average success 0.55.",,,,,,,,,,,2026-05-11 subagent result audit: cached full text 2512.00903.txt states simulation setup uses RoboTwin 2.0 and Table 1 reports SR/trajectory length.,high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2512.00903.txt states simulation setup uses RoboTwin 2.0 and Table 1 reports SR/trajectory length.,high,otherwise,"Reports success rate and trajectory length over horizon groups, not the standard RoboTwin 2.0 Easy/Clean or Hard/Randomized aggregate."
190,TouchGuide: Inference-Time Steering of Visuomotor Policies via Touch Guidance,2026,arXiv.org,n/a,n/a,n/a,2601.20239,2026-01-28,source metadata publication date for arXiv 2601.20239,10.48550/arXiv.2601.20239,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/b33db5016a47d6bdb348da8dfcc8a440c82e4cae; Semantic Scholar: b33db5016a47d6bdb348da8dfcc8a440c82e4cae; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Citation graph edge exists, but automated abstract/arXiv full-text audit found no RoboTwin benchmark-result context; cached arXiv HTML text for 2601.20239.",low,,
191,Towards Deploying VLA Without Fine-Tuning: Plug-and-Play Inference-Time VLA Policy Steering via Embodied Evolutionary Diffusion,2025,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,venue metadata from index,medium,2511.14178,2025-11-18,source metadata publication date for arXiv 2511.14178,10.1109/LRA.2026.3678455,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/200d0cdbba1214faed98ab1298c08172fb51359b; Semantic Scholar: 200d0cdbba1214faed98ab1298c08172fb51359b; S2 citation contexts available,reports-results,robotwin2,not reported; evaluated with 250 episodes per task,"Table I reports RoboTwin and ManiSkill3 simulation results. On selected RoboTwin tasks LiftPot and DumpBin, RDT-1B+ours reports 0.92 and 0.79 over 250 episodes per task.",,,,,,,,,,,"2026-05-11 second-pass audit: 250 episodes per task are evaluation episodes, not demonstrations.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2511.14178.txt, Table I, reports RoboTwin and ManiSkill3 simulation results.",high,otherwise,"Reports only selected RoboTwin tasks LiftPot and DumpBin over 250 episodes per task, not the standard 50-task benchmark aggregate."
192,Towards generalizable embodied AI system,2025,The HKU Scholars Hub (University of Hong Kong),The HKU Scholars Hub (University of Hong Kong),venue metadata from index,medium,,n/a,n/a,,OpenAlex term search: RoboTwin 2,term match: RoboTwin 2,term-only,"https://openalex.org/W7113026822; OpenAlex: W7113026822; Subagent term-status evidence: HKU Scholars Hub identifies this as Yao Mu's 2025 PhD thesis; the abstract says Chapter 8 introduces RoboTwin, not RoboTwin 2.0, and the record was available before the 2506.18088 seed submission. No exact arXiv same-work match was found.",term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-search row retained for audit; no countable RoboTwin 2.0 citation edge or formal citation was confirmed.,n/a,,
193,Towards Generalizable Robotic Manipulation in Dynamic Environments,2026,preprint/unknown,n/a,n/a,n/a,2603.15620,2026-03-16,source metadata publication date for arXiv 2603.15620,10.48550/arXiv.2603.15620,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/7c0b2b822d1da1f48f64314432f295193ae76543; Semantic Scholar: 7c0b2b822d1da1f48f64314432f295193ae76543; S2 citation contexts available,reports-results,robotwin2-static; domino-dynamic,not reported,"The paper reports selected static RoboTwin 2.0 results plus DOMINO dynamic results. Static-to-static average success rates include ACT 27.7, OpenVLA-OFT 17.5, and pi0.5 44.8.",,,,,,,,,,,2026-05-11 subagent result audit: cached full text 2603.15620.pdf.txt reports selected static results using RoboTwin 2.0.,medium,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2603.15620.pdf.txt reports selected static results using RoboTwin 2.0.,medium,otherwise,"Reports selected static RoboTwin 2.0 results plus custom DOMINO dynamic results, not a standard Easy/Clean or Hard/Randomized aggregate."
194,Towards High-Consistency Embodied World Model with Multi-View Trajectory Videos,2025,arXiv.org,n/a,n/a,n/a,2511.12882,2025-11-17,source metadata publication date for arXiv 2511.12882,10.48550/arXiv.2511.12882,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/45fd6d04f82203eba5473790ba14b81b3d1c4c5b; Semantic Scholar: 45fd6d04f82203eba5473790ba14b81b3d1c4c5b; S2 citation contexts available,reports-results,robotwin2-derived-multiview-world-model,not reported,"Table 3 reports per-task Jaccard Index scores on a self-collected dual-arm dataset with tasks adapted from RoboTwin. MTV-World task-averaged J scores are 54.9 for Low/View 1 and 45.0 for High/View 2; these are world-model/object-mask consistency metrics, not manipulation success rates.",,,,,,,,,,,2026-05-11 second-pass arXiv HTML table audit: paper cites RoboTwin 2.0 and Table 3 reports Jaccard Index scores on RoboTwin-adapted dual-arm tasks.,high,unclear,,2026-05-11 second-pass audit confirmed the RoboTwin-derived metrics but did not separately establish reported-number checkpoint availability.,low,2026-05-11 second-pass full-text audit: MTV-World evaluates on self-collected tasks adapted from RoboTwin and reports per-task/object-mask Jaccard metrics.,high,otherwise,"Reports Jaccard Index object-mask consistency on self-collected RoboTwin-adapted tasks, not standard RoboTwin 2.0 manipulation success."
195,Towards the Vision-Sound-Language-Action Paradigm: The HEAR Framework for Sound-Centric Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.16086,2026-03-17,source metadata publication date for arXiv 2603.16086,10.48550/arXiv.2603.16086,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/e6a45ead762957a3cca67de3365ebcdd9e340028; Semantic Scholar: e6a45ead762957a3cca67de3365ebcdd9e340028,reports-results,hear-bench-on-robotwin2,not reported; evaluated over 100 trials per task,"HEAR-Bench simulation uses the RoboTwin2 platform. Table 3 reports HEAR average success 0.81 over seven sound-centric tasks and 100 independent trials per task; HEAR task scores are Alarm Clock 0.91, Check Yes 0.89, Check Materials 0.83, Pour Water 0.51, Boil Water 0.81, Microwave 0.85, and Interrupt 0.88.",,,,,,,,,,,"2026-05-11 second-pass arXiv HTML table audit: Figure 6 identifies HEAR-Bench simulations on dual-arm RoboTwin2, and Table 3 reports 100-trial-per-task success rates.",high,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2603.16086.txt states HEAR-Bench simulation uses RoboTwin2 and reports HEAR average success.,high,otherwise,"Reports custom HEAR-Bench sound-centric tasks on the RoboTwin2 platform, not the standard RoboTwin 2.0 Easy/Clean or Hard/Randomized task set."
196,TwinVLA: Data-Efficient Bimanual Manipulation with Twin Single-Arm Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2511.05275,2025-11-07,source metadata publication date for arXiv 2511.05275,10.48550/arXiv.2511.05275,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/345cf81cbd74b444012f567f05ffcbe360401983; Semantic Scholar: 345cf81cbd74b444012f567f05ffcbe360401983; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50,"Table 10 reports fraction success rates on all 50 RoboTwin 2.0 tasks: Diffusion Policy 0.280 Easy / 0.006 Hard, RDT-1B 0.345 / 0.137, TwinVLA 0.420 / 0.089, pi0 0.464 / 0.163.",42,8.9,46.4,pi0,16.3,pi0,,,,,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2511.05275, Section 5.3 says the evaluation follows the official RoboTwin 2.0 protocol, trains a distinct model per task using 50 generated demonstrations, and uses 100 rollouts for each Easy/Hard task. Table 10 gives TwinVLA average 0.420 Easy and 0.089 Hard.",high,number-associated weight available,https://huggingface.co/jellyho/TwinVLA-RoboTwin2,"subagent checkpoint audit weights_batch_06.json: The official TwinVLA project links the paper, code, and Hugging Face checkpoint collection. The HF collection 'TwinVLA Checkpoints' includes arXiv 2511.05275 and the public, ungated model repo jellyho/TwinVLA-RoboTwin2. The HF API file listing shows task-specific RoboTwin2 checkpoint directories with model.safetensors, config.json, dataset_statistics.json, and singlevla_config files.",high,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2511.05275, Section 5.3 says the evaluation follows the official RoboTwin 2.0 protocol, trains a distinct model per task using 50 generated demonstrations, and uses 100 rollouts for each Easy/Hard task. Table 10 gives TwinVLA average 0.420 Easy and 0.089 Hard.",high,official-ish,Reports average success on all 50 RoboTwin 2.0 tasks under the official Easy/Hard protocol with 100 rollouts per task.
197,Unified 4D World Action Modeling from Video Priors with Asynchronous Denoising,2026,preprint/unknown,n/a,n/a,n/a,2604.26694,2026-04-29,source metadata publication date for arXiv 2604.26694,10.48550/arXiv.2604.26694,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Easy; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/0f13c8d91f2d321c20553e7ee75e094ff8fbbd9a; Semantic Scholar: 0f13c8d91f2d321c20553e7ee75e094ff8fbbd9a; OpenAlex: W7159734575; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,"Main Table 2 reports average success rate (%) on 50 RoboTwin 2.0 tasks: pi0 65.9 Clean / 58.4 Randomized, pi0.5 82.7 / 76.8, UWM 81.7 / 78.6, GigaWorld-Policy 87.0 / 85.0, Motus 88.7 / 87.0, X-WAM 89.8 / 90.7. Appendix Table 7 confirms per-task averages Clean 89.8 and Rand 90.7.",89.8,90.7,,,,,88.7,Motus,87.0,Motus,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2604.26694, Table 2 is explicitly RoboTwin 2.0 average success rate (%) on 50 tasks. The training details state each task is evaluated over 100 episodes under official benchmark protocols.",high,not-found,,"subagent checkpoint audit weights_batch_06.json: The official X-WAM project page reports the RoboTwin 2.0 number, but its code link is marked 'Code (Coming Soon)'. The linked GitHub repository is the static project site and has no release assets or model files. Exact Hugging Face and GitHub searches did not find an official X-WAM checkpoint or model artifact tied to the 89.8/90.7 RoboTwin results.",medium,"subagent result audit usage_numbers_batch_06.json: Cached arXiv 2604.26694, Table 2 is explicitly RoboTwin 2.0 average success rate (%) on 50 tasks. The training details state each task is evaluated over 100 episodes under official benchmark protocols.",high,official-ish,Reports RoboTwin 2.0 Clean and Randomized average success rates over 50 tasks under official benchmark protocols.
