ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
170,Executable Analytic Concepts as the Missing Link Between VLM Insight and Precise Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.07975,2025-10-09,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.07975,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/362fce54afeeba4ed5e589ab53afa7ce2b27e900; https://arxiv.org/abs/2510.07975; DOI 10.48550/arXiv.2510.07975,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=90.3; Google Robot / Fractal VA=89.8; WidowX / Bridge=86.1,90.3,89.8,86.1,74.8,SoFar,67.5,SpatialVLA(FT),58.3,SoFar,Local full text /tmp/simplerenv_audit/s2_texts/362fce54afeeba4ed5e589ab53afa7ce2b27e900.txt lines 448-453 describe SimplerEnv Google Robot and WidowX tasks; lines 456-475: Table 1 reports GRACE(GPT-4o) WidowX average 86.1; lines 518-536: Table 2 reports Google Robot VA/VM task values. VM average=(90.3+91.7+88.9)/3=90.3 and VA average=(91.7+87.5+90.3)/3=89.8.,high,not-found,,"The tracked values are GRACE(GPT-4o) SimplerEnv numbers, not a generic GRACE/Qwen backend. The paper reports zero-shot GRACE but also describes fixed learned components such as a fine-tuned GroundingDINO segmenter and a Point-Transformer parameter estimator; no official GitHub/project/model hub/checkpoint download was found from arXiv, OpenReview, exact-title search, or code indexes. Public Qwen2.5-VL weights are only an alternate backend that trails GPT-4o and do not correspond to the tracked GPT-4o numbers; GPT-4o weights are not publicly downloadable.",high,Local full text lines 448-453 and 481-496 state the method is evaluated on SimplerEnv Google Robot and WidowX.,high,official-ish,"Reports standard SimplerEnv Google Robot VM, Google Robot VA, and WidowX/Bridge success-rate averages."
171,F1: A Vision-Language-Action Model Bridging Understanding and Generation to Actions,2025,arXiv.org,n/a,n/a,n/a,2509.06951,2025-09-08,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2509.06951,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/5380fe9137f1ffec91b06fe4db60a083759a34fd; https://arxiv.org/abs/2509.06951; DOI 10.48550/arXiv.2509.06951,reports-results,widowx-bridge,not reported,WidowX / Bridge=59.4 average full task success; the paper also reports 72.9 as an overall score averaging grasp and task success.,,,59.4,,,,,42.7,SpatialVLA,"Local full text /tmp/simplerenv_audit/s2_texts/5380fe9137f1ffec91b06fe4db60a083759a34fd.txt lines 534-560: Table 3 reports SimplerEnv Bridge grasp and overall task success for four tasks. F1 pretrained success values are 70.8, 66.7, 50.0, 50.0, giving average full task success 59.4; line 559 says the paper's 72.9 overall score averages grasp and full task completion.",high,number-associated weight available,https://huggingface.co/InternRobotics/F1-VLA,"The tracked number is the F1 pretrained model's SimplerEnv Bridge result. The paper front matter links the official project, GitHub, and Hugging Face model; the paper's Table 3 reports the SimplerEnv Bridge results for the pretrained F1 row. The official GitHub README points STAGE2_CKPT_PATH/F1_pretrain to the Hugging Face model, and the Hugging Face file tree lists model.safetensors and config/training metadata. I checked metadata/file listings only and did not download the 9.67 GB checkpoint.",high,Local full text lines 487-489 and 534-560 state F1 is evaluated on SimplerEnv Bridge.,high,official-ish,Reports a standard SimplerEnv WidowX/Bridge full-task success-rate average; the extra grasp/overall score is separable.
172,FASTer: Toward Efficient Autoregressive Vision Language Action Modeling via Neural Action Tokenization,2025,arXiv.org,n/a,n/a,n/a,2512.04952,2025-12-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2512.04952,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/17b6a14711297f33d86ba4cb741c596a601e706b; https://arxiv.org/abs/2512.04952; DOI 10.48550/arXiv.2512.04952,reports-results,widowx-bridge,not reported,WidowX / Bridge=87.9,,,87.9,,,,,76.5,pi0 FAST-D,"Local full text /tmp/simplerenv_audit/s2_texts/17b6a14711297f33d86ba4cb741c596a601e706b.txt lines 480-500: Table 1 reports FASTer on Simpler-Bridge with Spoon 91.7, Carrot 93.3, Block 67.5, Eggplant 99.2, Average 87.9; lines 1132-1136 describe Simpler-widow evaluation.",high,not-found,,"The tracked number is FASTerVLA's 87.9 Simpler-Bridge success rate. The arXiv paper says source code will be made public upon publication, but it does not provide a model/checkpoint link. The OpenReview and ICLR pages have no code, Hugging Face, release, or checkpoint link, and exact-title/GitHub/Hugging Face searches did not surface an official reported-number artifact. No public weight tied to the Simpler-Bridge result was found.",high,Local full text lines 480-500 and 1132-1136 identify Simpler-Bridge/Simpler-widow as the benchmark.,high,official-ish,Reports a standard SimplerEnv WidowX/Bridge success-rate average.
173,FlowDreamer: A RGB-D World Model With Flow-Based Motion Representations for Robot Manipulation,2025,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,Crossref API https://api.crossref.org/works/10.1109/LRA.2026.3653273 and DOI https://doi.org/10.1109/LRA.2026.3653273 list IEEE Robotics and Automation Letters as the container for the 2026 journal article.,high,2505.10075,2025-05-15,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/LRA.2026.3653273,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/2d1c66a1cdcd58e91b272b934f5b50c1566bbec0; https://arxiv.org/abs/2505.10075; DOI 10.1109/LRA.2026.3653273; https://openalex.org/W4415199343,reports-results,simplerenv-result-unattributed,"25,000 SimplerEnv RT-1 episodes used for video-prediction data; not reported per task","Video-prediction metrics are reported on SimplerEnv RT-1: FlowDreamer DINOv2 L2 10.9922, CLIP 0.9189, PSNR 21.7562, SSIM 0.8196, LPIPS 0.0993, FID 43.5807, FVD 268.3853. No standard policy suite average.",,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/2d1c66a1cdcd58e91b272b934f5b50c1566bbec0.txt lines 283-292: Table 1 reports video prediction results on the SimplerEnv RT-1 benchmark; lines 324-330 say SimplerEnv is used as the RT-1 simulator; lines 895-908 list 25,000 RT-1 SimplerEnv episodes and 758,015 samples.",high,weight-but-not-for-number,,"The tracked SimpleEnv entry is FlowDreamer video-prediction metrics on RT-1 SimplerEnv, which require the trained FlowDreamer world-model checkpoint. The official project links a model hub and the GitHub README says it provides checkpoints for the depth-estimation module plus datasets, while the evaluation command still requires a user-supplied trained FlowDreamer checkpoint path. The Hugging Face file tree contains only depth_anything component weights such as rt1_simpler_vits.pth, not the full FlowDreamer checkpoint that produced the tracked video-prediction numbers.",high,Local full text lines 324-330 and 911-913 state RT-1 trajectories are collected from SimplerEnv tasks.,high,otherwise,"Reports SimplerEnv RT-1 video-prediction metrics rather than standard manipulation success rates for VM, VA, or WidowX/Bridge."
174,FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,2025,arXiv.org,Conference on Robot Learning (CoRL 2025),"Local title page line 52 and OpenReview PDF https://openreview.net/pdf?id=JeppaebLRD line 34 state 9th Conference on Robot Learning (CoRL 2025), Seoul, Korea.",high,2509.04996,2025-09-05,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2509.04996,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/1d8142ab42bfba12f42feee687f0c77555b5bab2; https://arxiv.org/abs/2509.04996; DOI 10.48550/arXiv.2509.04996,reports-results,widowx-bridge; simplerenv-result-unattributed,not reported,"WidowX / Bridge=45.0; Google Robot combined across visual matching and visual aggregation=31.9, not split into VM/VA suite columns.",,,45.0,,,,,30.0,CrossFormer,Local full text /tmp/simplerenv_audit/s2_texts/1d8142ab42bfba12f42feee687f0c77555b5bab2.txt lines 1170-1177: Table 11 reports FLOWER Bridge average 45; lines 1179-1188: Table 12 reports Google Robot average 31.9 across both visual matching and visual aggregation variants.,high,number-associated weight available,https://huggingface.co/mbreuss/flower_vla_pret,"The tracked numbers are FLOWER's SIMPLER Bridge average 45.0 and Google Robot combined 31.9. The official project page reports those SIMPLER tables and links Model Weights; the Hugging Face paper page says pretrained weights are available. The mbreuss/flower_vla_pret model card explicitly states that the checkpoint contains weights for the SIMPLER results reported in the paper, and the file tree lists 360000_model_weights.pt. This is a direct reported-number checkpoint.",high,Local full text lines 490-504 and 1164-1198 state FLOWER is evaluated on SIMPLER Bridge and Google Robot.,high,official-ish,"Reports a standard SimplerEnv WidowX/Bridge success-rate average, despite also giving an unsplit Google Robot aggregate."
175,FlowVLA: Visual Chain of Thought-based Motion Reasoning for Vision-Language-Action Models,2025,preprint/unknown,n/a,n/a,n/a,2508.18269,2025-08-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c471d4dcf4326d9bbdcab474c65d3fd5c55fd417; https://arxiv.org/abs/2508.18269,reports-results,widowx-bridge,not reported,WidowX / Bridge=74.0,,,74.0,,,,,65.6,UniVLA,Local full text /tmp/simplerenv_audit/s2_texts/c471d4dcf4326d9bbdcab474c65d3fd5c55fd417.txt lines 349-360 describe using SimplerEnv; lines 397-401 discuss SimplerEnv results; lines 451-469: Table 2 reports FlowVLA on the SimplerEnv-WidowX benchmark with average 74.0.,high,not-found,,"The tracked result is FlowVLA's 74.0 average on SimplerEnv-WidowX after pretraining and policy fine-tuning. The official project page links arXiv/Paper and says Code is coming soon, but it has no GitHub, Hugging Face, ModelScope, release, or checkpoint link. The arXiv page points back to that project page, and exact-title searches did not reveal an official model artifact. Since the only public promise is code coming soon and no weights/checkpoints are available, no reported-number weight was found.",high,Local full text lines 349-360 and 397-401 state SimplerEnv is used to assess robustness to domain shifts.,high,official-ish,Reports a standard SimplerEnv WidowX/Bridge success-rate average.
176,From Intention to Execution: Probing the Generalization Boundaries of Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2506.09930,2025-06-11,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2506.09930,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c3d3faba1e541fa2ca29a3a46754c4af86ce8e50; https://arxiv.org/abs/2506.09930; DOI 10.48550/arXiv.2506.09930,reports-results,simplerenv-result-unattributed,not reported,"Custom INT-ACT suite results are reported, including Table 1 average task success values: pi0 finetune 30.4, pi0 scratch 48.9, Magma 21.6, SpatialVLA 21.5, Octo Small 1.6, Octo Base 2.4. No standard suite average.",,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/c3d3faba1e541fa2ca29a3a46754c4af86ce8e50.txt lines 136-152 state INT-ACT extends SimplerEnv from 4 tasks per dataset to 50 BridgeV2-tailored tasks; lines 277-284 describe 50 tasks, 24 episodes, and 3 seeds; lines 359-414: Table 1 reports intention, grasp, and success metrics by category.",high,number-associated weight available,https://huggingface.co/collections/ai4ce/intact-probing-suite-684e5601e9ed640fdd9b994b,"The tracked row is a custom INT-ACT/SimplerEnv-derived table rather than a single standard-suite average, but the official INT-ACT release is tied to the reported numbers: the README says all relevant model checkpoints were uploaded and its evaluation configs cover the same INT-ACT task list. The Hugging Face collection contains the authors' pi0 finetune, pi0 scratch, and pi0 finetune-rephrase checkpoints with model.safetensors files; the model cards state that these checkpoints were used for SimplerEnv and INT-ACT evaluation and reproduce the paper's per-task SimplerEnv comparison table. The same README links the baseline Magma, SpatialVLA, and Octo checkpoints used for the other reported INT-ACT rows. Large weights were not downloaded; this classification uses repo/model-card text and file listings.",high,"Local full text lines 145-152 state the probing suite extends SimplerEnv, and lines 281-291 define the SimplerEnv-based evaluation metrics.",high,otherwise,"Reports the custom INT-ACT suite that extends SimplerEnv to 50 BridgeV2-tailored tasks, not a standard WidowX/Bridge suite average."
177,From Seeing to Doing: Bridging Reasoning and Decision for Robotic Manipulation,2025,arXiv.org,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2505.08548,2025-05-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.08548,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/af7a092ffcf06772870cf67e37aa471d74f4e7bc; https://arxiv.org/abs/2505.08548; DOI 10.48550/arXiv.2505.08548,reports-results,widowx-bridge,not reported,WidowX / Bridge=40.6,,,40.6,,,,,48.3,pi0-fast,Independent subagent full-text/result audit verified: WidowX / Bridge=40.6,high,number-associated weight available,https://huggingface.co/collections/IffYuan/fsd,"The tracked value is FSD's 40.6% SimplerEnv WidowX average. The arXiv v3 abstract and official project page both state the 40.6% SimplerEnv result, and the project page/GitHub repository link the official FSD Hugging Face collection. That collection contains public FSD model repositories, and FSD-v1 exposes sharded PyTorch checkpoint files in the file tree. I did not download any weight shard.",medium,Independent subagent full-text/result audit verified: WidowX / Bridge=40.6,high,official-ish,Reports a standard SimplerEnv WidowX/Bridge success-rate average for FSD.
178,From Spatial to Actions: Grounding Vision-Language-Action Model in Spatial Foundation Priors,2025,arXiv.org,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2510.17439,2025-10-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.17439,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9a7fcc41c5da78aa961eb8225a55f1df6539b649; https://arxiv.org/abs/2510.17439; DOI 10.48550/arXiv.2510.17439,reports-results,widowx-bridge; simplerenv-result-unattributed,not reported,"WidowX / Bridge=56.3; generic Google Robot average=62.9, not split into VM/VA suite columns.",,,56.3,,,,,42.7,SpatialVLA,arXiv:2510.17439 Table 2 reports FALCON WidowX / Bridge Avg 56.3; Table 3 reports a generic Google Robot Avg 62.9 without a VM/VA split.,high,number-associated weight available,https://huggingface.co/FALCON-VLA/FALCON-series/blob/main/falcon-esm-fc-simpler-bridge/ckpts/falcon_esm_fc_simpler_bridge.pt,"The tracked SimpleEnv/SimplerEnv number is FALCON's WidowX/Bridge result of 56.3. The official FALCON repository/model card says the Model Zoo provides paper weights and identifies FALCON-FC-SimplerEnv-Bridge as the checkpoint pretrained on OXE then finetuned on Bridge for Tab. 2, which is the Bridge-WidowX table. Hugging Face metadata lists the public falcon-esm-fc-simpler-bridge checkpoint file and associated logs/config metadata. The generic Google value in the paper has a separate Fractal/Google checkpoint, but the URL here is the Bridge checkpoint corresponding to the tracked WidowX/Bridge cell.",high,arXiv:2510.17439 Tables 2-3 evaluate FALCON on SimplerEnv WidowX and Google Robot; only the WidowX value is mapped to a sortable suite column.,high,official-ish,Reports a standard SimplerEnv WidowX/Bridge success-rate average; the generic unsplit Google Robot average is not needed for comparability.
179,Generalist Robot Manipulation beyond Action Labeled Data,2025,arXiv.org,Conference on Robot Learning (CoRL),Subagent verified CoRL venue metadata.,high,2509.19958,2025-09-24,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2509.19958,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/6b712d7134329bf0eb50363ce73d73c0becad7c7; https://arxiv.org/abs/2509.19958; DOI 10.48550/arXiv.2509.19958,reports-results,widowx-bridge,not reported,WidowX / Bridge=68.2,,,68.2,,,,,56.8,pi0 (B),Independent subagent full-text/result audit verified: WidowX / Bridge=68.2,high,number-associated weight available,https://huggingface.co/aspiridonov/motovla/tree/main/motovla-d-256-b-1024-t-2025-04-22-13-11_checkpoint-000023070,"The tracked WidowX/Bridge value is MotoVLA (R+H) 68.2 on the SIMPLER in-domain table. The official project page reports that MotoVLA (R+H) achieves 68.2% average success in SIMPLER, and the official GitHub README says model weights, evaluation, and inference code are released. The repository's SimplerEnv eval config defaults to checkpoint/motovla-d-256-b-1024-t-2025-04-22-13-11_checkpoint-000023070, and Hugging Face metadata lists public checkpoint files under that same directory. Large files were not downloaded.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=68.2,high,official-ish,Reports a WidowX / Bridge success-rate average (68.2) under the standard SimplerEnv WidowX-Bridge protocol.
180,GenManip: LLM-driven Simulation for Generalizable Instruction-Following Manipulation,2025,Computer Vision and Pattern Recognition,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Subagent verified CVPR venue metadata.,high,2506.10966,2025-06-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/CVPR52734.2025.01138,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d29c715b0cfa25fb5c34eb91a3af8de871efd901; https://arxiv.org/abs/2506.10966; DOI 10.1109/CVPR52734.2025.01138,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
181,GeoAware-VLA: Implicit Geometry Aware Vision-Language-Action Model,2025,arXiv.org,n/a,n/a,n/a,2509.14117,2025-09-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2509.14117,Semantic Scholar citation graph; OpenAlex term search: Real Robot Setups SIMPLER,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/de907b402c6005e74bc954b1f27ebe097e24cdf6; https://arxiv.org/abs/2509.14117; DOI 10.48550/arXiv.2509.14117; https://openalex.org/W4416255737,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
182,GigaWorld-0: World Models as Data Engine to Empower Embodied AI,2025,arXiv.org,n/a,n/a,n/a,2511.19861,2025-11-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2511.19861,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/078b530b3dd7b3dcd50b8764087453280fd7a2a6; https://arxiv.org/abs/2511.19861; DOI 10.48550/arXiv.2511.19861,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
183,GSWorld: Closed-Loop Photo-Realistic Simulation Suite for Robotic Manipulation,2025,arXiv.org,IEEE International Conference on Robotics and Automation (ICRA),Subagent verified ICRA venue metadata.,high,2510.20813,2025-10-23,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.20813,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/935a8586ea05ae1d59efaca83f537025b6111822; https://arxiv.org/abs/2510.20813; DOI 10.48550/arXiv.2510.20813,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
184,GWM: Towards Scalable Gaussian World Models for Robotic Manipulation,2025,IEEE International Conference on Computer Vision,IEEE International Conference on Computer Vision,Subagent verified ICCV venue metadata.,high,2508.17600,2025-08-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/ICCV51701.2025.00865,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d338e99f53dde228a10cd4754562d19b8c6e95f0; https://arxiv.org/abs/2508.17600; DOI 10.1109/ICCV51701.2025.00865,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
185,HAMLET: Switch your Vision-Language-Action Model into a History-Aware Policy,2025,arXiv.org,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2510.00695,2025-10-01,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.00695,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/aa95daa91807ccd60dc0b7b928328069828af83e; https://arxiv.org/abs/2510.00695; DOI 10.48550/arXiv.2510.00695,reports-results,widowx-bridge,not reported,WidowX / Bridge=63.5,,,63.5,,,,,52.1,CogACT,Independent subagent full-text/result audit verified: WidowX / Bridge=63.5,high,weight-but-not-for-number,,"The tracked WidowX/Bridge number is +HAMLET (Ours) on CogACT with an average of 63.5, which requires the HAMLET-added moment tokens/memory module and fine-tuning setup. The paper lists public backbone checkpoints such as CogACT-Base, GR00T, pi0, and pi0-FAST, but those are baseline/initialization weights rather than the HAMLET-adapted CogACT policy that produced 63.5. The official HAMLET project page only links arXiv and marks code as soon; it provides no HAMLET SimplerEnv checkpoint or download. Hugging Face searches found some HAMLET/OpenVLA LIBERO artifacts and author GR00T/RoboCasa-style models, but no public CogACT/SimplerEnv HAMLET checkpoint tied to the tracked number.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=63.5,high,official-ish,Reports a WidowX / Bridge success-rate average (63.5) under the standard SimplerEnv WidowX-Bridge protocol.
186,HAMSTER: Hierarchical Action Models For Open-World Robot Manipulation,2025,International Conference on Learning Representations,International Conference on Learning Representations (ICLR),Subagent verified ICLR venue metadata.,high,2502.05485,2025-02-08,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2502.05485,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f7fda04c653b44b043735cb4a3c108c84131e067; https://arxiv.org/abs/2502.05485; DOI 10.48550/arXiv.2502.05485; https://openalex.org/W4407384835,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
187,Hierarchical Vision Language Action Model Using Success and Failure Demonstrations,2025,arXiv.org,n/a,n/a,n/a,2512.03913,2025-12-03,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2512.03913,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d9c628227a7d39fd6efbd8f762de50e8f38713cc; https://arxiv.org/abs/2512.03913; DOI 10.48550/arXiv.2512.03913,reports-results,widowx-bridge,"eggplant 72, carrot 192, spoon 144, cube 192 trajectories",WidowX / Bridge=40.6,,,40.6,,,,,38.9,pi0 (Finetuned),Independent subagent full-text/result audit verified: WidowX / Bridge=40.6,high,weight-but-not-for-number,,"The tracked WidowX/Bridge value is VINE's SimplerEnv result after rolling out a BridgeV2-finetuned pi0 policy, collecting 600 additional trajectories, retraining with the failure-aware procedure, and merging adapted weights. The official project page has empty Code and Dataset buttons and no model link, and exact Hugging Face searches for VINE-VLA/2512.03913 returned no model artifact. Public base pi0/INT-ACT-style weights are related starting points, but they are not the VINE adapted policy/value-function weights that produced the tracked 40.6 result.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=40.6,high,official-ish,Reports a WidowX / Bridge success-rate average (40.6) under the standard SimplerEnv WidowX-Bridge evaluation.
188,How Do VLAs Effectively Inherit from VLMs?,2025,arXiv.org,n/a,n/a,n/a,2511.06619,2025-11-10,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2511.06619,Semantic Scholar citation graph; OpenAlex term search: Real Robot Setups SIMPLER; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/36d038ad0b4fb8353529b50cc493bcd97297979c; https://arxiv.org/abs/2511.06619; DOI 10.48550/arXiv.2511.06619; https://openalex.org/W7105506859,reports-results,widowx-bridge,not reported,WidowX / Bridge=49.0; generic Google result was not assigned to VM/VA.,,,49.0,,,,,27,pi0,Independent subagent full-text/result audit verified: WidowX / Bridge=49.0; generic Google result was not assigned to VM/VA.,high,not-found,,"The tracked WidowX/Bridge value 49.0 is Appendix A's SIMPLER performance for the paper's controlled pi0-style baseline VLA after OXE pretraining/fine-tuning, not a generic base VLM or open-pi-zero implementation checkpoint. The paper says the GrinningFace code is provided on GitHub, but the official repository is currently only a placeholder saying the code release process is ongoing, and it has no release assets or checkpoint files. The first author's Hugging Face profile exposes only an unrelated llama2-alpaca model, and Hugging Face search for GrinningFace returned no model artifacts. No public reported-number checkpoint was found.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=49.0; generic Google result was not assigned to VM/VA.,high,official-ish,"Reports a clean WidowX / Bridge success-rate average (49.0); the generic Google result is unassigned, but the Bridge number is standard-comparable."
189,Humanoid Everyday: A Comprehensive Robotic Dataset for Open-World Humanoid Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.08807,2025-10-09,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.08807,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/355cdb7fde5ff6748dfa62f01e71e062b3a02227; https://arxiv.org/abs/2510.08807; DOI 10.48550/arXiv.2510.08807,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
