ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,CALVIN usage,Evaluation protocol,Demos per task,Reported benchmark numbers,ABC D average task completed,ABCD D average task completed,D D average task completed,ABC D 5/5 chain success rate,ABCD D 5/5 chain success rate,D D 5/5 chain success rate,DD previous SOTA ATC,DD previous SOTA name,ABCD previous SOTA ATC,ABCD previous SOTA name,ABCDD previous SOTA ATC,ABCDD previous SOTA name,ABCD previous SOTA 5/5 chain success rate,ABCDD previous SOTA 5/5 chain success rate,DD previous SOTA 5/5 chain success rate,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
336,Unifying Latent Action and Latent State Pre-training for Policy Learning from Videos,2025,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,n/a,n/a,n/a,,n/a,n/a,10.1145/3757377.3763966,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/3872edcec317465ba453c29e2c342777428854f3; Semantic Scholar: 3872edcec317465ba453c29e2c342777428854f3,reports-results,lh-mtlc,not reported,"The abstract reports that UniMimic improves the average number of tasks completed in a row of 5 on CALVIN from 2.50 and 2.35 to 3.89 and 3.73. It also reports a 19% Libero benchmark gain and real-world improvements exceeding 36%, but those are not CALVIN numbers.",,,,,,,,,,,,,,,,"No arXiv/full-text cache was found for this DOI row. Repository raw metadata in libero/audit_raw/libero_candidate_payloads.json reconstructs the Semantic Scholar/OpenAlex abstract for DOI 10.1145/3757377.3763966 with the CALVIN values 2.50, 2.35, 3.89, and 3.73. Web search found ACM/ResearchGate/J-GLOBAL landing pages but no openly accessible full text with split labels.",medium,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"No arXiv/full-text cache was found for this DOI row. Repository raw metadata in libero/audit_raw/libero_candidate_payloads.json reconstructs the Semantic Scholar/OpenAlex abstract for DOI 10.1145/3757377.3763966 with the CALVIN values 2.50, 2.35, 3.89, and 3.73. Web search found ACM/ResearchGate/J-GLOBAL landing pages but no openly accessible full text with split labels.",medium,official-ish,"Reports average number of tasks completed in a row of 5 on CALVIN, an official-style long-horizon ATC metric, though split labels are unavailable."
337,Unifying Perception and Action: A Hybrid-Modality Pipeline with Implicit Visual Chain-of-Thought for Robotic Action Generation,2025,arXiv.org,n/a,n/a,n/a,2511.19859,2025-11-25,arXiv API published date for 2511.19859,10.48550/arxiv.2511.19859,OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2511.19859; https://arxiv.org/abs/2511.19859; https://openalex.org/W7106819507; https://www.semanticscholar.org/paper/269422e60f757c1fe58ec4eb5e962dee080f43d1; OpenAlex: W7106819507; OpenAlex: W7106861214; Semantic Scholar: 269422e60f757c1fe58ec4eb5e962dee080f43d1,reports-results,abc-d,not reported,ABC D average task completed=4.73,4.73,,,84.5,,,,,4.51,DeFI,,,81.2,,,"Cached arXiv HTML 2511.19859 Table 1 is labeled CALVIN ABC-D and reports VITA average number of tasks completed 4.73 over 1,000 five-instruction rollouts.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML 2511.19859 Table 1 is labeled CALVIN ABC-D and reports VITA average number of tasks completed 4.73 over 1,000 five-instruction rollouts.",high,official-ish,"Reports CALVIN ABC-D average number of tasks completed over 1,000 five-instruction rollouts, matching the standard long-horizon protocol."
338,UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,2025,Robotics,n/a,n/a,n/a,2505.06111,2025-05-09,arXiv API published date for 2505.06111,10.48550/arXiv.2505.06111,Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID,indexed-citation,https://github.com/OpenDriveLab/UniVLA; https://www.semanticscholar.org/paper/23ec5b0184fe48558f14401247a411d2a48bd75f; https://www.wizwand.com/paper/68fa78851e209131cea78d36; https://arxiv.org/abs/2505.06111; https://github.com/OpenDriveLab/UniVLA; Semantic Scholar: 23ec5b0184fe48558f14401247a411d2a48bd75f; Wizwand paper: 68fa78851e209131cea78d36,reports-results,abc-d,not reported,ABC D average task completed=3.80,3.80,,,56.5,,,,,3.66,RoboDual,,,54.4,,,Cached arXiv HTML 2505.06111 Table A-II is labeled CALVIN ABC -> D and reports UniVLA Avg. Len. 3.80 with five-step success rates.,high,number-associated weight available,https://huggingface.co/qwbu/univla-7b-224-sft-calvin,Official UniVLA README model zoo lists `univla-7b-224-sft-calvin` as fine-tuned on the CALVIN dataset; Hugging Face API lists public model safetensors plus `action_decoder.pt`. No large weights were downloaded.,high,Cached arXiv HTML 2505.06111 Table A-II is labeled CALVIN ABC -> D and reports UniVLA Avg. Len. 3.80 with five-step success rates.,high,official-ish,"Reports CALVIN ABC-D Avg. Len. 3.80 with five-step success rates, matching the standard long-horizon evaluation style."
339,Unveiling the Potential of Vision-Language-Action Models with Open-Ended Multimodal Instructions,2025,arXiv.org,n/a,n/a,n/a,2505.11214,2025-05-16,arXiv API published date for 2505.11214,10.48550/arXiv.2505.11214,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/080bf1a8e8bc146945f6d2effda4dced40aa3137; Semantic Scholar: 080bf1a8e8bc146945f6d2effda4dced40aa3137,reports-results,abc-d,not reported,ABC D average task completed=2.99,2.99,,,33.4,,,,,2.70,KosMos Inter.,,,29.6,,,Cached arXiv HTML 2505.11214 Section 5.2 and Table 1 evaluate CALVIN ABC-D; OE-VLA 7B reports Len 2.99.,high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,Cached arXiv HTML 2505.11214 Section 5.2 and Table 1 evaluate CALVIN ABC-D; OE-VLA 7B reports Len 2.99.,high,official-ish,"Reports CALVIN ABC-D Len. 2.99, a standard long-horizon average-task-completion result."
340,UP-VLA: A Unified Understanding and Prediction Model for Embodied Agent,2025,International Conference on Machine Learning,Accepted to ICML2025,arXiv comment,low,2501.18867,2025-01-31,arXiv API published date for 2501.18867,10.48550/arxiv.2501.18867,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard; arXiv term search - CALVIN,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2501.18867; https://arxiv.org/abs/2501.18867; https://github.com/CladernyJorn/UP-VLA; https://www.semanticscholar.org/paper/6cbf6ae741ea536559a08f8b8f2efe01669cc612; https://www.wizwand.com/paper/68fa79a11e209131cea7e8d4; https://arxiv.org/abs/2501.18867; https://github.com/CladernyJorn/UP-VLA; OpenAlex: W4407093073; Semantic Scholar: 6cbf6ae741ea536559a08f8b8f2efe01669cc612; Wizwand paper: 68fa79a11e209131cea7e8d4,reports-results,abc-d; abcd-d,not reported,ABC D average task completed=4.08; ABCD D average task completed=4.42,4.08,4.42,,69.9,81.2,,,,3.35,3D Diffuser Actor,4.21,GR-1,41.2,73.1,,ABC D: UP-VLA Average Successful Length=4.08 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UP-VLA Average Successful Length=4.078 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UP-VLA Avg Sequence Length=4.08 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABC D: UP-VLA-phi-w/o-mmu Avg Sequence Length=3.13 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABC D: UP-VLA-RT-2 Avg Sequence Length=1.44 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABCD D: UP-VLA Avg Length=4.08 via Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard (https://www.wizwand.com/sota/robotic-manipulation-on-calvin-abcd-d-success-rate-conditioned-on-instruction-length); ABCD D: UP-VLA Avg Length=4.42 via Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard (https://www.wizwand.com/sota/robotic-manipulation-on-calvin-abcd-d-success-rate-conditioned-on-instruction-length); ABCD D: UP-VLA Avg Trajectory Length=4.42 via Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-robot-manipulation-on-calvin-abcd-d); plus 1 additional leaderboard entries,medium,number-associated weight available,https://huggingface.co/CladernyJorn/UP-VLA-Calvin,Official UP-VLA README says it provides a trained checkpoint for reproduction on the Calvin ABC-D task; Hugging Face API lists public `pytorch_model.bin` for `UP-VLA-Calvin`. No large weights were downloaded.,high,ABC D: UP-VLA Average Successful Length=4.08 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UP-VLA Average Successful Length=4.078 via Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard (https://www.wizwand.com/sota/robot-manipulation-on-calvin-abc-d); ABC D: UP-VLA Avg Sequence Length=4.08 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABC D: UP-VLA-phi-w/o-mmu Avg Sequence Length=3.13 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABC D: UP-VLA-RT-2 Avg Sequence Length=1.44 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d); ABCD D: UP-VLA Avg Length=4.08 via Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard (https://www.wizwand.com/sota/robotic-manipulation-on-calvin-abcd-d-success-rate-conditioned-on-instruction-length); ABCD D: UP-VLA Avg Length=4.42 via Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard (https://www.wizwand.com/sota/robotic-manipulation-on-calvin-abcd-d-success-rate-conditioned-on-instruction-length); ABCD D: UP-VLA Avg Trajectory Length=4.42 via Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-robot-manipulation-on-calvin-abcd-d); plus 1 additional leaderboard entries,medium,official-ish,Reports CALVIN ABC-D and ABCD-D average task-completion lengths from standard long-horizon leaderboard settings.
341,VideoWorld: Exploring Knowledge Learning from Unlabeled Videos,2025,arXiv.org,n/a,n/a,n/a,2501.09781,2025-01-16,arXiv API published date for 2501.09781,10.48550/arxiv.2501.09781,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2501.09781; https://arxiv.org/abs/2501.09781; https://www.semanticscholar.org/paper/f9cef96bc0e4e282cbff93d35a7fc68e643504cc; OpenAlex: W4406603713; Semantic Scholar: f9cef96bc0e4e282cbff93d35a7fc68e643504cc,reports-results,lh-mtlc,not reported,"CALVIN result reported, but no split average task-completion value is comparable to ABC D, ABCD D, or D D columns.",,,,,,,,,,,,,,,,"Cached arXiv HTML 2501.09781 Table 2 reports CALVIN task success rates for VideoWorld on Push/Open-Close/Turn on-off, not average completed tasks over five instructions.",high,number-associated weight available,https://huggingface.co/maverickrzw/VideoWorld-GoBattle/tree/main,Official VideoWorld robotics instructions expect `calvin_model.pth` and `calvin_fsq.pth`; Hugging Face metadata for the linked weights repository lists both files. No large weights were downloaded.,medium,"Cached arXiv HTML 2501.09781 Table 2 reports CALVIN task success rates for VideoWorld on Push/Open-Close/Turn on-off, not average completed tasks over five instructions.",high,otherwise,"It reports CALVIN task-level success rates for selected Push/Open-Close/Turn tasks, not a standard long-horizon split ATC or equivalent official metric."
342,ViSA-Flow: Accelerating Robot Skill Learning via Large-Scale Video Semantic Action Flow,2025,arXiv.org,n/a,n/a,n/a,2505.01288,2025-05-02,arXiv API published date for 2505.01288,10.48550/arxiv.2505.01288,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2505.01288; https://arxiv.org/abs/2505.01288; https://www.semanticscholar.org/paper/d0b6271368e5506036704b1a6901704226d82946; OpenAlex: W4416232591; Semantic Scholar: d0b6271368e5506036704b1a6901704226d82946,reports-results,abc-d,not reported,"Table I reports CALVIN ABC-D success rates for completing 1-5 consecutive tasks and Avg. Len. under 10% CALVIN ABC language-annotated demonstrations. ViSA-Flow (Ours): 89.0/73.8/56.8/44.8/31.4, Avg. 2.96. 10% baselines: ATM 31.7/5.1/1.3/0/0, Avg. 0.43; CLOVER 44.3/18.0/5.0/1.0/0, Avg. 0.68; GR-1 67.2/37.1/19.8/10.8/6.9, Avg. 1.41; SeeR 65.5/38.8/21.4/11.7/6.8, Avg. 1.44; GR-MG 81.8/59.0/39.0/24.0/16.2, Avg. 2.20.",2.96,,,31.4,,,,,2.69,SuSIE,,,26.0,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2505.01288.txt states the authors use the ABC-D split, train on environments A/B/C, evaluate zero-shot on D, and evaluate 1,000 test sequences. Table I reports success rates for 1-5 consecutive tasks and Avg. Len.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2505.01288.txt states the authors use the ABC-D split, train on environments A/B/C, evaluate zero-shot on D, and evaluate 1,000 test sequences. Table I reports success rates for 1-5 consecutive tasks and Avg. Len.",high,official-ish,"It reports standard CALVIN ABC-D long-horizon success rates and average length over 1,000 test sequences."
343,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025,IEEE Access,IEEE Access,OpenAlex primary location metadata,medium,2510.07077,2025-01-01,OpenAlex/arXiv location metadata for 2510.07077,10.1109/access.2025.3609980,OpenCitations DOI graph; OpenAlex DOI metadata; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://doi.org/10.1109/access.2025.3609980; https://www.semanticscholar.org/paper/58b30fe15c8fe3603f3f032ed28de6df606aabe8; OpenAlex: W4414198610; Semantic Scholar: 58b30fe15c8fe3603f3f032ed28de6df606aabe8,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
344,Vision Language Action Models in Robotic Manipulation: A Systematic Review,2025,arXiv.org,n/a,n/a,n/a,2507.10672,2025-07-14,arXiv API published date for 2507.10672,10.48550/arXiv.2507.10672,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/81e7b9d43653f22a3325cf7cc4039593ff44ffb2; Semantic Scholar: 81e7b9d43653f22a3325cf7cc4039593ff44ffb2,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
345,VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,2025,arXiv.org,n/a,n/a,n/a,2510.09607,2025-10-10,arXiv API published date for 2510.09607,10.48550/arXiv.2510.09607,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/87ae06051e4d8678f54b6b926c238aa61d858bbb; Semantic Scholar: 87ae06051e4d8678f54b6b926c238aa61d858bbb,reports-results,abc-d,not reported,"Table 1 reports CALVIN ABC-D success rates over 1,000 rollouts and Avg. Len. VITA-VLA (two-stage): 92.5/77.1/61.0/49.2/38.2, Avg. 3.18. VITA-VLA (only-ft): 86.0/73.2/60.4/49.4/39.8, Avg. 3.08. Baselines include Seer-Large 88.4/80.9/74.8/69.6/62.1, Avg. 3.76; GR-1 85.4/71.2/59.6/49.7/40.1, Avg. 3.06; RoboFlamingo 82.4/61.9/46.6/33.1/23.5, Avg. 2.48.",3.18,,,38.2,,,,,3.76,Seer-Large,,,62.1,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2510.09607.txt, Table 1, is captioned as CALVIN ABC-D results. The experiment text says ABC-D trains on A/B/C and tests on unseen D, with 1,000 language instructions.",high,number-associated weight available,https://huggingface.co/ShaoqiDong/VITA-VLA,"Official Tencent/VITA VITA-VLA branch links model weights; Hugging Face metadata lists `vita_calvin_two_stage.pth`, matching the tracked two-stage CALVIN ABC-D result, plus the only-finetune checkpoint. No large weights were downloaded.",high,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2510.09607.txt, Table 1, is captioned as CALVIN ABC-D results. The experiment text says ABC-D trains on A/B/C and tests on unseen D, with 1,000 language instructions.",high,official-ish,"It reports CALVIN ABC-D long-horizon 1/5-5/5 success rates and Avg. Len. over 1,000 language instructions."
346,VLA-Adapter: An Effective Paradigm for Tiny-Scale Vision-Language-Action Model,2025,AAAI Conference on Artificial Intelligence,n/a,n/a,n/a,2509.09372,2025-09-11,arXiv API published date for 2509.09372,10.48550/arXiv.2509.09372,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/14fc3877eda79752bd7c1e127a01d85e90195a3d; Semantic Scholar: 14fc3877eda79752bd7c1e127a01d85e90195a3d,reports-results,abc-d,not reported,ABC D average task completed=4.42 for VLA-Adapter; project page also reports VLA-Adapter-Pro 4.50.,4.42,,,76.5,,,,,4.33,VPP,,,75.0,,,Official VLA-Adapter project page section 3.2.5 reports CALVIN ABC->D Avg. length 4.42 and VLA-Adapter-Pro 4.50: https://vla-adapter.github.io/.,high,weight-but-not-for-number,,"Official VLA-Adapter Hugging Face release has `CALVIN-ABC-Pro` with an inference log for 4.50, but the tracked numeric column is original VLA-Adapter 4.42 rather than Pro 4.50. No large weights were downloaded.",high,Official VLA-Adapter project page section 3.2.5 reports CALVIN ABC->D Avg. length 4.42 and VLA-Adapter-Pro 4.50: https://vla-adapter.github.io/.,high,official-ish,"It reports a CALVIN ABC-to-D average task-completion length, which is comparable to the standard ABC-D protocol."
347,VLA-Arena: An Open-Source Framework for Benchmarking Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2512.22539,2025-12-27,arXiv API published date for 2512.22539,10.48550/arXiv.2512.22539,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/7988ea35a13c6b9f7e49f6122a80e162ea350e79; Semantic Scholar: 7988ea35a13c6b9f7e49f6122a80e162ea350e79,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
348,VLA-LPAF: Lightweight Perspective-Adaptive Fusion for Vision-Language-Action to Enable More Unconstrained Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2509.18183,2025-09-18,arXiv API published date for 2509.18183,10.48550/arXiv.2509.18183,Semantic Scholar citation graph; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match,indexed-citation,https://arxiv.org/abs/2509.18183; https://www.semanticscholar.org/paper/02b974252269a0ea2db11bf258ffdc28eb446594; Semantic Scholar: 02b974252269a0ea2db11bf258ffdc28eb446594,reports-results,lh-mtlc,not reported,"Custom multiview CALVIN success-rate results, not standard Avg. Len. Figure 6 reports success rates (%) by camera viewpoint -90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90. RoboFlamingo-LPAF: 79/76/80/87/91/90/89/81/81/90/77/86/91/91/88/83/91/90/84. RoboFlamingo: 72/76/75/75/77/79/78/77/78/75/79/78/80/78/80/80/75/77/72. Mean across these plotted viewpoints is about 85.5% for LPAF vs 76.9% for RoboFlamingo. Ablation tables report mean success rates: COS 86.42% vs MSE 84.26%; w/ gradually 87.79% vs w/o gradually 86.42%; w/o freeze 88.84% vs w/ freeze 88.63%.",,,,,,,,,,,,,,,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2509.18183.txt says the authors fine-tune RoboFlamingo-LPAF on CALVIN and create a multiview CALVIN setup with a=45 degrees, v=4, s=5, j=28 and test viewpoints every 10 degrees clockwise/counterclockwise. Figure 6 image from https://arxiv.org/html/2509.18183v1/figs/lpaf-vla-i5.png contains the per-view CALVIN success-rate table.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2509.18183.txt says the authors fine-tune RoboFlamingo-LPAF on CALVIN and create a multiview CALVIN setup with a=45 degrees, v=4, s=5, j=28 and test viewpoints every 10 degrees clockwise/counterclockwise. Figure 6 image from https://arxiv.org/html/2509.18183v1/figs/lpaf-vla-i5.png contains the per-view CALVIN success-rate table.",high,otherwise,"It evaluates a custom multiview CALVIN setup with per-viewpoint success rates, not the standard long-horizon Avg. Len. protocol."
349,VLA-RFT: Vision-Language-Action Reinforcement Fine-tuning with Verified Rewards in World Simulators,2025,arXiv.org,n/a,n/a,n/a,2510.00406,2025-10-01,arXiv API published date for 2510.00406,10.48550/arXiv.2510.00406,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/492a99e7c25ed0f96ad65c2cdc88cbb2b3dfafe3; Semantic Scholar: 492a99e7c25ed0f96ad65c2cdc88cbb2b3dfafe3,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
350,VLAS: Vision-Language-Action Model With Speech Instructions For Customized Robot Manipulation,2025,preprint/unknown,n/a,n/a,n/a,2502.13508,2025-02-19,arXiv API published date for 2502.13508,10.48550/arXiv.2502.13508,Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard,CALVIN abc-d average task completion result entry,manual-citation,https://www.wizwand.com/paper/68fa770b1e209131cea70b70; https://arxiv.org/abs/2502.13508; Wizwand paper: 68fa770b1e209131cea70b70,reports-results,abc-d; abcd-d,not reported,ABC D average task completed=2.40; ABCD D average task completed=3.70,2.4,3.70,,19.6,54.6,,,,2.48,RoboFlamingo,4.09,RoboFlamingo,23.5,66.0,,Local arXiv HTML cache calvin/audit_sources/arxiv_html_2502.13508.txt: Appendix Table 7 reports VLAS* ABC/D Len 2.40; main Table 1 reports VLAS* ABCD/D Len 3.70.,medium,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,ABC D: VLAS Avg Sequence Length=2.4 via Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard (https://www.wizwand.com/sota/long-horizon-task-completion-on-calvin-abc-d),medium,official-ish,Reports official-style CALVIN ABC->D and ABCD->D long-horizon 1-5 completion rates and average sequence length.
351,Weakly-supervised Latent Models for Task-specific Visual-Language Control,2025,arXiv.org,n/a,n/a,n/a,2511.18319,2025-11-23,arXiv API published date for 2511.18319,10.48550/arXiv.2511.18319,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/7fb5f479c7aee874e47560c097f68cac35d7e2d3; Semantic Scholar: 7fb5f479c7aee874e47560c097f68cac35d7e2d3,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
352,WorldAPIs: The World Is Worth How Many APIs? A Thought Experiment,2025,Proceedings of the AAAI Conference on Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence,OpenAlex primary location metadata,medium,2407.07778,2024-07-10,arXiv API published date for 2407.07778,10.1609/aaai.v39i23.34683,OpenAIRE ScholeXplorer citation graph; OpenAlex citation graph; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv; CALVIN arXiv DOI; CALVIN arXiv ID,indexed-citation,https://doi.org/10.1609/aaai.v39i23.34683; https://www.semanticscholar.org/paper/143ff789f500307bab6725c466da97492cb5c771; OpenAlex: W4409348052; Semantic Scholar: 143ff789f500307bab6725c466da97492cb5c771,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2407.07778.txt lists CALVIN only in Table 1 as an existing manipulation resource with size 12. The paper's table is a resource/domain comparison, not a CALVIN experiment, leaderboard, or benchmark result.",high,,
353,WorldEval: World Model as Real-World Robot Policies Evaluator,2025,arXiv.org,n/a,n/a,n/a,2505.19017,2025-05-25,arXiv API published date for 2505.19017,10.48550/arXiv.2505.19017,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/0ac6e9af7417a3a33f2c6cee90fcf26284eff654; Semantic Scholar: 0ac6e9af7417a3a33f2c6cee90fcf26284eff654,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
