ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
174,DSO: Aligning 3D Generators with Simulation Feedback for Physical Soundness,2025,IEEE International Conference on Computer Vision,IEEE International Conference on Computer Vision,derived from Venue/status/DOI metadata,medium,2503.22677,,2025-03-28,arXiv API published date,10.1109/ICCV51701.2025.00637,Semantic Scholar citation graph; CORE term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://www.semanticscholar.org/paper/6fe46c6f8183bc5cc22c43a57c215e71f6ad18e7; https://core.ac.uk/download/673181025.pdf,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the reference list/related citations for 3D generation and simulation feedback.,high,,
175,Dual-Stream Diffusion for World-Model Augmented Vision-Language-Action Model,2025,arXiv.org,n/a,"arXiv comments list '20 pages, 10 figures' with no accepted venue; web/OpenReview search found ICLR 2026 under-review PDFs, not an acceptance.",n/a,2510.27607,0,2025-10-31,"arXiv abs page https://arxiv.org/abs/2510.27607 dateline: Submitted on 31 Oct 2025 (v1); submission history v1 Fri, 31 Oct 2025 16:32:12 UTC.",10.48550/arXiv.2510.27607,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4415927688; OpenAlex: W4415927688,reports-results,gr1,"100, 300, and 1,000 demos per task",RoboCasa Table 1 success rates: DUST Avg. 0.501/0.585/0.663 for 100/300/1000 demos; GR00T-N1.5 Avg. 0.417/0.450/0.508; FLARE Avg. 0.446/0.553/0.646. Category values for DUST: 100 demos PnP/OP-CL/Other/Avg = 0.295/0.760/0.510/0.501; 300 demos = 0.423/0.807/0.581/0.585; 1000 demos = 0.483/0.863/0.686/0.663. Table 5 test-time scaling raises RoboCasa Avg. to 0.518 at 100 demos and 0.697 at 1000 demos with No=64.,,,66.3,,,,,64.6,"FLARE, 1000 demos","Local text /tmp/robocasa_protocol_audit/txt/175_https_arxiv.org_pdf_2510.27607.txt lines 410-418: Table 1 'Evaluation on RoboCasa' reports the 100/300/1000-demo success rates for GR00T-N1.5, FLARE, and DUST. Lines 547-556: Table 5 reports test-time scaling RoboCasa averages.",high,weight-but-not-for-number,,"The arXiv page reports DUST RoboCasa results but provides no project page, code link, or checkpoint link: https://arxiv.org/abs/2510.27607.; Searches for the exact title, DUST, RoboCasa, GitHub, Hugging Face, and ModelScope found no official DUST checkpoint download.; The paper states the GR00T-N1.5 baseline and FLARE baseline were trained/reimplemented for comparison; the tracked DUST number is not the public GR00T-N1.5 base model.; Public GR00T-N1.5 base weights exist at https://huggingface.co/nvidia/GR00T-N1.5-3B, but no DUST-specific RoboCasa policy weights were found. Notes: Only the related/base VLA weights are public; the DUST checkpoints for the tracked RoboCasa number are missing.",high,"Table 1 reports RoboCasa success rates for 100/300/1,000 demos per task; DUST Avg. 0.501/0.585/0.663 versus GR00T-N1.5 0.417/0.450/0.508 and FLARE 0.446/0.553/0.646.",high,official-ish,"Reports GR1/Tabletop-style RoboCasa success rates for 100, 300, and 1000 demonstrations per task."
176,DualTHOR: A Dual-Arm Humanoid Simulation Platform for Contingency-Aware Planning,2025,arXiv.org,n/a,n/a,n/a,2506.16012,,2025-06-19,arXiv API published date,10.48550/arXiv.2506.16012,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/4dd9d38a765f21aea3dc5bf03a914de2c6395cb6,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No cached full text or draft contexts were available for audit.,high,,
177,EchoVLA: Robotic Vision-Language-Action Model with Synergistic Declarative Memory for Mobile Manipulation,2025,ArXiv.org,n/a,arXiv comments have no venue; web search found arXiv/indexing pages but no accepted conference or journal.,n/a,2511.18112,,2025-11-22,"arXiv abs page https://arxiv.org/abs/2511.18112 dateline: Submitted on 22 Nov 2025 (v1); submission history v1 Sat, 22 Nov 2025 16:30:55 UTC.",,OpenAlex term search: RoboCasa; OpenAlex term search: RoboCasa365; manual full-text audit; Semantic Scholar citation graph,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523; mentions RoboCasa365 benchmark table; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W7106782519; OpenAlex: W7106782519; https://www.semanticscholar.org/paper/2e5dabf10c264b1fa3f53d76ea3bb8f15fa89f93,reports-results,robocasa365,not reported,"RoboCasa/MoMani Table 2 SR: EchoVLA Avg SR = 0.52 for manipulation/navigation and 0.31 for mobile manipulation. Baselines in manipulation/navigation: BC-T 0.28, Diffusion Policy 0.01, DP3 0.22, WB-VIMA 0.15, pi0.5 0.32. Baselines in mobile manipulation: BC-T 0.05, DP3 0.06, WB-VIMA 0.11, pi0.5 0.20.",,52.0,,,,,,,,Local text /tmp/robocasa_protocol_audit/txt/178_https_arxiv.org_pdf_2511.18112.txt lines 579-626: Section 5.2 says experiments are in RoboCasa; Table 2 lists success-rate comparisons and EchoVLA rows with Avg SR 0.52 and 0.31. Lines 631-638 restate Avg Success 0.52 and mobile manipulation 0.31.,high,not-found,,"The arXiv HTML reports EchoVLA RoboCasa/MoMani success rates but shows no project page, code repository, dataset page, Hugging Face model, or checkpoint link: https://arxiv.org/html/2511.18112.; Web/Hugging Face searches for EchoVLA and MoMani found paper/indexing pages but no official model or checkpoint repository.; No public EchoVLA policy checkpoint, scene/episodic memory checkpoint, or MoMani artifact tied to the tracked 0.52 RoboCasa365 number was found. Notes: I did not count generic frozen encoders or unrelated baseline families as EchoVLA weight availability.",medium,"EchoVLA reports RoboCasa simulation results: EchoVLA improves over pi0.5 by +0.20 on manipulation/navigation and +0.11 on mobile manipulation; Table 2 shows Avg SR 0.52 and 0.31 for EchoVLA. Merged duplicate row 178: Table 2 reports RoboCasa simulation success rates for manipulation/navigation and mobile manipulation; EchoVLA Avg SR is 0.52 and 0.31, outperforming pi0.5 at 0.32 and 0.20.",high,otherwise,"EchoVLA reports a four-task RoboCasa subset plus custom navigation/mobile-manipulation variants, not a standard RSS24, RoboCasa365, or GR1/Tabletop aggregate."
179,Efficient Machine Learning for Intelligent Machines,2025,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: no countable RoboCasa citation confirmed,term-only,https://core.ac.uk/download/670174645.pdf,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
180,Embodied AI Agents: Modeling the World,2025,arXiv.org,n/a,n/a,n/a,2506.22355,,2025-06-27,arXiv API published date,10.48550/arXiv.2506.22355,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/121d34fe66a35ef11e408de4119477971ee6e2cc,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a cited reference in a survey/book-style bibliography.,high,,
181,Embracing Evolution: A Call for Body-Control Co-Design in Embodied Humanoid Robot,2025,arXiv.org,n/a,n/a,n/a,2510.03081,,2025-10-03,arXiv API published date,10.48550/arXiv.2510.03081,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/ecce02d8bdde5e4af9bdfc3f2c2093339ac297ec,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is mentioned as one example of a photorealistic simulation environment; no RoboCasa data use or result is reported.,high,,
182,Empirical Analysis of Sim-and-Real Cotraining of Diffusion Policies For Planar Pushing from Pixels,2025,IEEE/RJS International Conference on Intelligent RObots and Systems,IEEE/RJS International Conference on Intelligent RObots and Systems,derived from Venue/status/DOI metadata,medium,2503.22634,,2025-03-28,arXiv API published date,10.1109/IROS60139.2025.11246304,OpenAlex citation graph; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W4416749157; OpenAlex: W4416749157; https://doi.org/10.1109/iros60139.2025.11246304,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as reference [24] in the bibliography/near appendix text; the reported planar-pushing demos and success rates are not RoboCasa experiments.,high,,
183,Empowering natural human-robot collaboration through multimodal language models and spatial intelligence: Pathways and perspectives,2025,Robotics and Computer-Integrated Manufacturing,Robotics and Computer-Integrated Manufacturing,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.1016/j.rcim.2025.103064,OpenAlex citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W4411206891; OpenAlex: W4411206891,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No cached full text or RoboCasa context was available for inspection.,low,,
184,End-to-End Dexterous Arm-Hand VLA Policies via Shared Autonomy: VR Teleoperation Augmented by Autonomous Hand VLA Policy for Efficient Data Collection,2025,arXiv.org,n/a,n/a,n/a,2511.00139,,2025-10-31,arXiv API published date,10.48550/arXiv.2511.00139,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d5bf0cdb2a6a5965d7932a3189c3ce3f09f7df58,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"The cached text contains RoboCasa only in the references, adjacent to RoboTwin and Open X-Embodiment citations.",high,,
185,Evaluation of Habitat Robotics using Large Language Models,2025,IEEE Conference on High Performance Extreme Computing,IEEE Conference on High Performance Extreme Computing,derived from Venue/status/DOI metadata,medium,2507.06157,,2025-07-08,arXiv API published date,10.1109/HPEC67600.2025.11196444,OpenAlex citation graph; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W4415250823; OpenAlex: W4415250823; https://doi.org/10.1109/hpec67600.2025.11196444,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa is mentioned in the abstract as one of several simulators and then cited in the references; the evaluated benchmark is Meta PARTNR, with no RoboCasa result.",medium,,
186,Exploring the Limits of Vision-Language-Action Manipulations in Cross-task Generalization,2025,arXiv.org,n/a,n/a,n/a,2505.15660,,2025-05-21,arXiv API published date,10.48550/arXiv.2505.15660,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4414580806; OpenAlex: W4414580806,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa appears only in a related benchmark/reference list with LIBERO, BEHAVIOR-1K, VLABench, and VLMBench.",high,,
187,FLARE: Robot Learning with Implicit World Modeling,2025,arXiv.org,Conference on Robot Learning (CoRL) 2025,"PMLR page https://proceedings.mlr.press/v305/zheng25a.html lists 'Proceedings of The 9th Conference on Robot Learning, PMLR 305:3952-3971, 2025.'",high,2505.15659,0,2025-05-21,"arXiv abs page https://arxiv.org/abs/2505.15659 dateline: Submitted on 21 May 2025; submission history v1 Wed, 21 May 2025 15:33:27 UTC.",10.48550/arXiv.2505.15659,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4415329187; OpenAlex: W4415329187,reports-results,rss24; gr1,100 trajectories per task; 1000 trajectories; 24 x 300 training trajectories,"RoboCasa/GR1 Table 1 task success average (%): FLARE 70.1 on 24 RoboCasa tasks and 55.0 on 24 GR1 tasks; Policy Only 61.9/44.0; UWM 60.8/29.5; GR00T N1 Scratch 60.6/45.1; Diffusion Policy 51.7/40.9. Category values for FLARE on RoboCasa: Pick and Place 53.2, Open/Close Doors/Drawers 88.8, Others 80.0.",70.1,,55.0,60.8,UWM,,,45.1,GR00T N1 (Scratch),Local text /tmp/robocasa_protocol_audit/txt/187_https_arxiv.org_pdf_2505.15659.txt lines 243-259: Table 1 'Task Success Rate Breakdown for Multitask Policy on RoboCasa and GR1' reports 24 RoboCasa Tasks Average 70.1% and 24 GR1 Tasks Average 55.0%.,high,weight-but-not-for-number,,"The official FLARE page still links 'GitHub (coming soon)' rather than a live code/checkpoint download for FLARE: https://research.nvidia.com/labs/gear/flare/.; The official page describes the action-aware embedding model and FLARE policy results, but does not provide a downloadable FLARE RoboCasa policy checkpoint.; Hugging Face search found a related coauthor RoboCasa GR00T-N1.5 post-train checkpoint at https://huggingface.co/youliangtan/gr00t-n1.5-robocasa-tabletop-posttrain, but it has no model card/paper link and is not documented as the FLARE checkpoint that produced the 70.1/55.0 tracked results.; No official FLARE repository, release asset, or paper-linked Hugging Face/ModelScope checkpoint for the FLARE RoboCasa policy or action-aware embedding model was found. Notes: The official page still has a coming-soon artifact claim, but the presence of related/unlinked baseline-style weights makes weight-but-not-for-number the more precise new-label recommendation.",medium,The paper evaluates FLARE on 24 RoboCasa tasks and 24 GR-1 tabletop tasks; Table 1 reports 24 RoboCasa Tasks Average 70.1% and 24 GR1 Tasks Average 55.0% for FLARE.,high,official-ish,"FLARE reports standard-style success averages on 24 RoboCasa tasks and 24 GR1 tasks, matching RSS24 and GR1/Tabletop-style evaluation."
188,FOLIAGE: Towards Physical Intelligence World Models Via Unbounded Surface Evolution,2025,arXiv.org,n/a,n/a,n/a,2506.03173,,2025-05-29,arXiv API published date,10.48550/arXiv.2506.03173,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/1ecb4fb3ab37d581da0d3776b0f6bae9d53d18c7,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as reference [53] in the bibliography.,high,,
189,From Scan to Action: Leveraging Realistic Scans for Embodied Scene Understanding,2025,arXiv.org,n/a,n/a,n/a,2507.17585,,2025-07-23,arXiv API published date,10.48550/arXiv.2507.17585,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/43b0926fed34cb7293630e0b1c7f2f1c3da13969,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa is cited in related work as a Robotics: Science and Systems simulator/benchmark; no RoboCasa data or metric is reported.,high,,
190,FurniMAS: Language-Guided Furniture Decoration using Multi-Agent System,2025,arXiv.org,n/a,n/a,n/a,2507.04770,,2025-07-07,arXiv API published date,10.48550/arXiv.2507.04770,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/3da8766618688d05fb3af86c80b09d724e720ba0,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a reference entry in the bibliography.,high,,
191,GauDP: Reinventing Multi-Agent Collaboration through Gaussian-Image Synergy in Diffusion Policies,2025,arXiv.org,n/a,n/a,n/a,2511.00998,,2025-11-02,arXiv API published date,10.48550/arXiv.2511.00998,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/5f34a06bb989444aaf7377942f1c7a1ce7f3b9b2,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Both RoboCasa occurrences are bibliography entries; no RoboCasa experiment or data use is described.,high,,
192,GenDexHand: Generative Simulation for Dexterous Hands,2025,arXiv.org,n/a,n/a,n/a,2511.01791,,2025-11-03,arXiv API published date,10.48550/arXiv.2511.01791,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4416440160; OpenAlex: W4416440160,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references between RoboTwin and OpenAI citations.,high,,
193,Genie Envisioner: A Unified World Foundation Platform for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2508.05635,,2025-08-07,arXiv API published date,10.48550/arXiv.2508.05635,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/cc446fc0a6c6f4f331f7e914f33f2cc42f1d991e,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"RoboCasa is listed as a prior robotics benchmark/simulator citation; the reported 200 demonstrations belong to the paper's own experiments, not RoboCasa.",high,,
194,GenManip: LLM-driven Simulation for Generalizable Instruction-Following Manipulation,2025,Computer Vision and Pattern Recognition,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) 2025,CVPR virtual page https://cvpr.thecvf.com/virtual/2025/poster/33632 lists GENMANIP as a 2025 poster; CVF open-access PDF states it is the CVPR paper/final published version on IEEE Xplore; DOI 10.1109/CVPR52734.2025.01138.,high,2506.10966,0,2025-06-12,"arXiv abs page https://arxiv.org/abs/2506.10966 dateline: Submitted on 12 Jun 2025; submission history v1 Thu, 12 Jun 2025 17:59:04 UTC.",10.1109/CVPR52734.2025.01138,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d29c715b0cfa25fb5c34eb91a3af8de871efd901,reports-results,rss24,not reported,"RoboCasa comparison is a realism user study, not RoboCasa policy success: Fig. 3 realism score, lower is better on 1-5 scale: Our/GENMANIP 1.4 +/- 0.3; RoboCasa 1.6 +/- 0.4; RLBench 4.0 +/- 0.5; VLMBench 4.4 +/- 1.3; CALVIN 5.0 +/- 1.5; LIBERO 4.6 +/- 1.5. GENMANIP-Bench main Table 2 overall SR/SPL for modular methods includes best CoPA+GPT-4.5 Overall SR 23.00, SPL 5.26.",,,,,,,,,,"Local text /tmp/robocasa_protocol_audit/txt/194_https_arxiv.org_pdf_2506.10966.txt lines 273-289: Figure 3 shows Our 1.4+-0.3 and RoboCasa 1.6+-0.4 and defines the realism scale. Lines 401-418 and 438-443: Table 2 reports modular manipulation overall SR/SPL, with CoPA GPT-4.5 Overall SR 23.00/SPL 5.26.",high,weight-but-not-for-number,,"The tracked RoboCasa entry is a simulator-realism comparison/user study, not a RoboCasa policy success number or a checkpointed RoboCasa policy result: https://arxiv.org/abs/2506.10966.; The current GenManip site and official GitHub describe a simulation/data-generation/benchmark suite and CVPR code/docs, but not a CVPR RoboCasa result-producing policy checkpoint: https://genmanip.com/publications/genmanip-cvpr2025/ and https://github.com/OpenRobotLab/GenManip.; InternRobotics/Gr00t-n1-5_Genmanip_IROS is public and has safetensor shards, but the Hugging Face repo has no model card and is not tied to the tracked CVPR RoboCasa realism comparison: https://huggingface.co/InternRobotics/Gr00t-n1-5_Genmanip_IROS. Notes: Previous label normalized to weight-but-not-for-number. The public GenManip/IROS GR00T-family checkpoint is related, but it did not produce the tracked RoboCasa comparison number.",medium,"GenManip compares its platform to RoboCasa in a user study, reporting Our 1.4+-0.3 and RoboCasa 1.6+-0.4 realism scores; it otherwise discusses RoboCasa as a prior platform.",medium,otherwise,"GenManip only compares RoboCasa in a simulator-realism user study and reports GenManip-Bench SR/SPL, not standard RoboCasa policy success."
195,GeoPredict: Leveraging Predictive Kinematics and 3D Gaussian Geometry for Precise VLA Manipulation,2025,arXiv.org,n/a,arXiv comments have no venue; web search found arXiv/index pages and no accepted conference or journal.,n/a,2512.16811,,2025-12-18,"arXiv abs page https://arxiv.org/abs/2512.16811 dateline: Submitted on 18 Dec 2025 (v1); submission history v1 Thu, 18 Dec 2025 17:51:42 UTC.",10.48550/arXiv.2512.16811,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4417531254; OpenAlex: W4417531254,reports-results,rss24,50 human demonstrations per task,"RoboCasa Human-50 Table 1 average success rate (%): GeoPredict 52.4; pi0 baseline 42.3; GWM 39.2; BC-Transformer 28.8. Table 3 ablation Average SR: 42.3, 44.8, 47.2, 49.4, 50.5, 52.4 across added history/future/depth components.",52.4,,,42.3,pi0,,,,,Local text /tmp/robocasa_protocol_audit/txt/195_https_arxiv.org_pdf_2512.16811.txt lines 382-397 states GeoPredict average 52.4 and baselines; lines 401-416 show Table 1 with average rows 28.8/39.2/42.3/52.4; lines 462-481 show Table 3 ablation Average SR values.,high,coming-soon-no-download-link,,"The project page reports GeoPredict RoboCasa Human-50 results and links the official code repository: https://jingjingqian75.github.io/GeoPredict-Page/.; The GitHub README still lists evaluation code as expected in April 2026 and training code as expected in May 2026, with no checkpoint/model download or release artifacts visible: https://github.com/jingjingqian75/GeoPredict.; Hugging Face API searches for GeoPredict, arXiv 2512.16811, and the apparent author account returned no public GeoPredict model repositories. Notes: GeoPredict is built on a pi0-style/base VLA, but the tracked number requires GeoPredict predictive-module training; a base pi0/openpi artifact would not be number-associated.",high,"GeoPredict evaluates on RoboCasa Human-50 across 24 tasks; Table 1 reports average success rate 52.4% for GeoPredict versus 42.3% pi0, 39.2% GWM, and 28.8% BC-Transformer.",high,official-ish,GeoPredict reports average success over the 24-task RoboCasa Human-50/RSS24-style benchmark.
196,GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,2025,arXiv.org,n/a,arXiv comments and DOI indicate arXiv preprint; NVIDIA research page labels publication as ArXiv Preprint; no accepted conference/journal found.,n/a,2503.14734,4,2025-03-18,"arXiv abs page https://arxiv.org/abs/2503.14734 dateline: Submitted on 18 Mar 2025 (v1); submission history v1 Tue, 18 Mar 2025 21:06:21 UTC.",10.48550/arXiv.2503.14734,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/731c50b0d6af4c1cb8d95f506541681ea487973b,reports-results,rss24,"30, 100, and 300 demonstrations per task; publicly available dataset of 3000 demonstrations","RoboCasa Table 4 average success rate (%): Diffusion Policy 30/100/300 demos = 14.7/25.6/43.2; GR00T-N1-2B = 17.4/32.1/49.6. Table 2 at 100 demos additionally reports BC Transformer 26.3%, Diffusion Policy 25.6%, GR00T-N1-2B 32.1% on RoboCasa.",49.6,,,43.2,Diffusion Policy (300 demos),,,,,Local text /tmp/robocasa_protocol_audit/txt/196_https_arxiv.org_pdf_2503.14734.txt lines 896-908: Table 2 simulation results with RoboCasa 100-demo averages. Lines 1491-1521: Table 4 detailed simulation evaluation with RoboCasa Average 14.7/25.6/43.2 for DP and 17.4/32.1/49.6 for GR00T-N1-2B.,high,weight-but-not-for-number,,"The paper describes the RoboCasa numbers as post-training results using 30, 100, and 300 demonstrations per task, with the maximum score from the last five checkpoints: https://arxiv.org/abs/2503.14734; The public NVIDIA GR00T-N1-2B Hugging Face repo contains model.safetensors and is tied to the whitepaper, but the model card describes a base/open foundation model that users can post-train: https://huggingface.co/nvidia/GR00T-N1-2B; The current Isaac-GR00T checkpoint table lists newer base/fine-tuned checkpoints such as N1.7, LIBERO, DROID, and SimplerEnv, but no GR00T-N1 RoboCasa 30/100/300-demo post-training checkpoint for the Table 4 numbers: https://github.com/NVIDIA/Isaac-GR00T. Notes: Previous label normalized to weight-but-not-for-number. The base GR00T-N1-2B weights are public, but the tracked RoboCasa success rates came from missing post-trained checkpoints.",high,"GR00T N1 evaluates RoboCasa Kitchen with 24 atomic tasks and reports Table 2 average success rates at 100 demos per task: BC Transformer 26.3%, Diffusion Policy 25.6%, GR00T-N1-2B 32.1%.",high,official-ish,"GR00T N1 reports RoboCasa Kitchen success rates over the standard 24 atomic tasks at 30, 100, and 300 demonstrations per task."
197,"GS-World: An Efficient, Engine-driven Learning Paradigm for Pursuing Embodied Intelligence using World Models of Generative Simulation",2025,preprint,n/a,n/a,n/a,,,n/a,n/a,10.36227/techrxiv.176153394.41323502/v1,OpenAlex term search: RoboCasa,term match; manual audit: no countable RoboCasa citation confirmed,term-only,https://openalex.org/W4415564921; OpenAlex: W4415564921,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
198,GSWorld: Closed-Loop Photo-Realistic Simulation Suite for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2510.20813,,2025-10-23,arXiv API published date,10.48550/arXiv.2510.20813,Semantic Scholar citation graph; CORE term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://www.semanticscholar.org/paper/935a8586ea05ae1d59efaca83f537025b6111822; https://core.ac.uk/download/658684618.pdf,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references/citation list.,high,,
199,GUIDES: Guidance Using Instructor-Distilled Embeddings for Pre-trained Robot Policy Enhancement,2025,arXiv.org,IEEE International Conference on Robotics and Automation (ICRA) 2026,arXiv abs comments for 2511.03400: 'IEEE International Conference on Robotics and Automation (ICRA 2026)'.,high,2511.03400,,2025-11-05,"arXiv abs page https://arxiv.org/abs/2511.03400 dateline: Submitted on 5 Nov 2025 (v1); submission history v1 Wed, 5 Nov 2025 12:08:05 UTC.",10.48550/arXiv.2511.03400,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4416019914; OpenAlex: W4416019914,reports-results,rss24,not reported,RoboCasa Table II selected-task success rates: BCX/GUIDES/REFLECTOR averages = 0.17/0.27/0.49; PnPCounterToCab = 0.12/0.38/0.56; TurnOffStove = 0.22/0.24/0.40; CoffeeSetupMug = 0.18/0.20/0.50. Table I reports per-task transformer/diffusion w/o vs w/ GUIDES; text states transformer average absolute success improves by 10 percentage points and relative success by 33.78%.,27.0,,,,,,,,,Local text /tmp/robocasa_protocol_audit/txt/199_https_arxiv.org_pdf_2511.03400.txt lines 461-476 states the RoboCasa evaluation and 10-point/33.78% improvement; lines 521-534 show Table I per-task success rates; lines 561-572 show Table II selected-task and average success rates.,high,not-found,,"The arXiv page provides the paper and abstract but no official project, code, model, or checkpoint link: https://arxiv.org/abs/2511.03400.; The paper reports RoboCasa results for GUIDES/REFLECTOR with a fine-tuned Instructor VLM, auxiliary embeddings, and adapted policy components, so generic base-policy artifacts would not be enough for the tracked numbers.; Web searches plus Hugging Face API searches for the exact title, arXiv 2511.03400, GUIDES, Instructor-Distilled, and REFLECTOR RoboCasa found no public official model/checkpoint repository. Notes: I found no public GUIDES Instructor, AEM, REFLECTOR, or RoboCasa-adapted policy checkpoint.",medium,"GUIDES evaluates on 24 RoboCasa tasks; Table I reports per-task success rates with and without guidance, and Table II reports PnPCounterToCab 0.12/0.38/0.56 and Average 0.17/0.27/0.49 for BCX/GUIDES/REFLECTOR.",high,official-ish,GUIDES evaluates on the 24-task RoboCasa benchmark and reports full-task success rates plus a 55.1% transformer average.
