ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,LIBERO usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Spatial,Object,Goal,Long/10,Spatial previous SOTA success rate,Spatial previous SOTA name,Object previous SOTA success rate,Object previous SOTA name,Goal previous SOTA success rate,Goal previous SOTA name,Long/10 previous SOTA success rate,Long/10 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
433,SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,2025,ArXiv.org,n/a,n/a,n/a,2506.01844,2025-06-02,row-level public-source audit,10.48550/arxiv.2506.01844,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-10""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-10""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2506.01844; https://arxiv.org/abs/2506.01844; https://arxiv.org/pdf/2506.01844; https://doi.org/10.48550/arXiv.2506.01844; https://doi.org/10.48550/arxiv.2506.01844; https://openalex.org/W4414898213; https://www.semanticscholar.org/paper/6ab4d113676d00e74b55e918fee4c7affaa8652f; audit note: Suite columns use the main 0.45B SmolVLA row. Per-task demonstration count is not reported; only total LIBERO episodes are stated.,reports-results,spatial; object; goal; long-10,not reported,"Table 2 reports success rates. SmolVLA 0.24B: Spatial 87, Object 93, Goal 88, Long 63, Avg 82.75. SmolVLA 0.45B: Spatial 90, Object 96, Goal 92, Long 71, Avg 87.3. SmolVLA 2.25B: Spatial 93, Object 94, Goal 91, Long 77, Avg 88.75.",90,96,92,71,90.0,pi0 (3.3B),92.5,Diffusion Policy,95.0,pi0 (3.3B),73.0,pi0 (3.3B),"The simulation benchmark section states LIBERO includes Spatial, Object, Goal, and Long with 10 tasks per category; Table 2 reports per-suite success rates for SmolVLA variants. Source: https://arxiv.org/pdf/2506.01844",high,weight-but-not-for-number,,"Public Hugging Face weights exist for lerobot/smolvla_base and HuggingFaceVLA/smolvla_libero, with safetensors file listings. The base model is for finetuning, and the public smolvla_libero leaderboard entry reports different LIBERO suite values from the tracked Table 2 0.45B SmolVLA row, so the available weights are not tied to the tracked number.",medium,"The paper evaluates SmolVLA on LIBERO and reports 10 trials per task across the four LIBERO categories; it also states the LIBERO dataset used has 1,693 episodes covering all tasks. Source: https://arxiv.org/pdf/2506.01844",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates using binary task completion."
434,SoFar: Language-Grounded Orientation Bridges Spatial Reasoning and Object Manipulation,2025,arXiv.org,NeurIPS 2025,arXiv PDF https://arxiv.org/pdf/2502.13143 header states 39th Conference on Neural Information Processing Systems (NeurIPS 2025).,high,2502.13143,2025-02-18,arXiv API first-published metadata,10.48550/arXiv.2502.13143,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2502.13143; https://doi.org/10.48550/arXiv.2502.13143; https://www.semanticscholar.org/paper/3564562b1fd9ed8abf9aaeef0afd1d759c5e0d55,reports-results,other,not reported,"Sec. 4.3/Table 1 report Open6DOR V2 execution tasks in a robosuite environment following the LIBERO task interface; SOFAR scores Position Overall 67.0, Rotation Overall 25.7, 6-DoF Overall 18.4, Time Cost 40s. Custom Open6DOR V2 protocol, so standard LIBERO suite columns are blank.",,,,,,,,,,,,,"arXiv PDF https://arxiv.org/pdf/2502.13143, Sec. 4.3 and Table 1.",high,unclear,,n/a,n/a,"arXiv PDF https://arxiv.org/pdf/2502.13143, Sec. 4.3 and Table 1, describes Open6DOR V2 in a robosuite environment following the LIBERO task interface and reports execution-task results.",high,otherwise,"Reports Open6DOR V2 execution tasks using a LIBERO-style interface, not original LIBERO suite success rates."
435,SP-VLA: A Joint Model Scheduling and Token Pruning Approach for VLA Model Acceleration,2025,ArXiv.org,n/a,n/a,n/a,2506.12723,2025-06-15,OpenAlex/arXiv harvested publication-date metadata,10.48550/arxiv.2506.12723,"OpenAlex term search: ""LIBERO"" ""robot manipulation""; Semantic Scholar citation graph: arXiv 2306.03310; arXiv API term search: all:LIBERO AND all:Spatial","OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).; arXiv metadata matched query 'all:LIBERO AND all:Spatial'; manual citation audit required.",indexed-citation,http://arxiv.org/abs/2506.12723; https://arxiv.org/abs/2506.12723; https://arxiv.org/pdf/2506.12723; https://doi.org/10.48550/arXiv.2506.12723; https://doi.org/10.48550/arxiv.2506.12723; https://openalex.org/W4417536563; https://www.semanticscholar.org/paper/0d282d3d1b0fffb5e89225807c52d3c7a01c1da0,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
436,Sparse Imagination for Efficient Visual World Model Planning,2025,arXiv.org,n/a,n/a,n/a,2506.01392,2025-06-02,arXiv API first-published metadata,10.48550/arXiv.2506.01392,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2506.01392; https://doi.org/10.48550/arXiv.2506.01392; https://www.semanticscholar.org/paper/006b1b538de4f43c9e2c72f470334b9ee3feca3d,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
437,Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos,2025,ArXiv.org,n/a,n/a,n/a,2512.13080,2025-12-15,row-level public-source audit,10.48550/arxiv.2512.13080,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2512.13080; https://arxiv.org/abs/2512.13080; https://arxiv.org/pdf/2512.13080; https://doi.org/10.48550/arXiv.2512.13080; https://doi.org/10.48550/arxiv.2512.13080; https://openalex.org/W4417453599; https://www.semanticscholar.org/paper/7fe1bf5362a5cf4418d55b26d7ae7b3be0cf3022; audit note: Project page: https://beingbeyond.github.io/VIPA-VLA. No accepted venue found in free public sources.,reports-results,spatial; object; goal; long-10,not reported,"Reports VIPA-VLA LIBERO success rates: Spatial 92.6, Object 97.2, Goal 94.2, Long 85.6, Avg 92.4.",92.6,97.2,94.2,85.6,91.4,GR00T N1.5,97.6,GR00T N1.5,94.0,GR00T N1.5,85.6,GR00T N1.5,"The paper evaluates on the standard LIBERO benchmark with Spatial, Object, Goal, and Long suites and reports average success rates across 500 trials for each suite; the ablation table lists VIPA-VLA as Spatial 92.6, Object 97.2, Goal 94.2, Long 85.6. Source: https://arxiv.org/pdf/2512.13080",high,not-found,,"Checked the official VIPA-VLA project page, official BeingBeyond/VIPA-VLA GitHub repository, arXiv 2512.13080, exact-title web results, and Hugging Face searches. The official repository currently only says code is coming soon and has no releases, packages, checkpoint links, or model file listings for the reported LIBERO numbers.",high,The paper adopts LIBERO as a standard simulated benchmark and reports four-suite LIBERO performance for VIPA-VLA. Sources: https://arxiv.org/pdf/2512.13080 and https://beingbeyond.github.io/VIPA-VLA,high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates."
438,Spatial Forcing: Implicit Spatial Representation Alignment for Vision-language-action Model,2025,ArXiv.org,n/a,n/a,n/a,2510.12276,2025-10-14,row-level public-source audit,10.48550/arxiv.2510.12276,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2510.12276; https://arxiv.org/abs/2510.12276; https://arxiv.org/pdf/2510.12276; https://doi.org/10.48550/arXiv.2510.12276; https://doi.org/10.48550/arxiv.2510.12276; https://openalex.org/W4415269881; https://www.semanticscholar.org/paper/263896525561a4c4299dcf1bf80815088d00e509; audit note: Project page: https://spatial-forcing.github.io/. No accepted venue found in free public sources.,reports-results,spatial; object; goal; long-10,500 expert demonstrations per suite across 10 tasks (50 per task implied).,"Table 1 reports Spatial Forcing success rates: Spatial 99.4, Object 99.6, Goal 98.8, Long 96.0, Average 98.5.",99.4,99.6,98.8,96.0,98.4,GeoVLA,99.8,3D-CAVLA,98.2,3D-CAVLA,96.6,GeoVLA,The paper evaluates on LIBERO's four main suites and Table 1 reports per-suite success rates; the benchmark description states each suite has 500 expert demonstrations across 10 tasks. Source: https://arxiv.org/pdf/2510.12276,high,number-associated weight available,https://huggingface.co/collections/haofuly/spatial-forcing,"The official project page links to the Spatial Forcing model collection. The collection/model cards provide LIBERO-Spatial, LIBERO-Object, LIBERO-Goal, and LIBERO-10 Spatial-Forcing checkpoints, and Hugging Face metadata lists action-head/projector files plus safetensors shards for the per-suite checkpoints associated with the paper's Table 1 LIBERO results.",high,"The paper reports Spatial Forcing results on LIBERO Spatial, Object, Goal, and Long and uses success rate as the metric. Sources: https://arxiv.org/pdf/2510.12276 and https://spatial-forcing.github.io/",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates under official settings."
439,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,2025,Robotics: Science and Systems XXI,Robotics: Science and Systems XXI,RSS proceedings page https://roboticsproceedings.org/rss21/p011.html lists SpatialVLA in Robotics: Science and Systems XXI with DOI 10.15607/rss.2025.xxi.011.,high,2501.15830,2025-01-27,row-level public-source audit,10.15607/rss.2025.xxi.011,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,http://arxiv.org/abs/2501.15830; https://arxiv.org/abs/2501.15830; https://arxiv.org/pdf/2501.15830; https://doi.org/10.48550/arXiv.2501.15830; https://doi.org/10.48550/arxiv.2501.15830; https://openalex.org/W4406884719; https://www.semanticscholar.org/paper/10301766e5686bda76722ef2af1362213b934cc0; audit note: Same work/version family as ID 440. RSS proceedings title uses plural 'Models'.; audit note: RSS proceedings identity retained as canonical; row 440 is a duplicate not counted separately,reports-results,spatial; object; goal; long-10,50 human-teleoperated demonstrations per task.,"Table III reports SpatialVLA fine-tuned success rates: Spatial 88.2 +/- 0.5, Object 89.9 +/- 0.7, Goal 78.6 +/- 0.6, Long 55.5 +/- 1.0, Average 78.1 +/- 0.7.",88.2,89.9,78.6,55.5,84.7,OpenVLA fine-tuned,92.5,Diffusion Policy from scratch,84.6,Octo fine-tuned,54.1,TraceVLA fine-tuned,"The arXiv paper states the four LIBERO task suites each have 10 tasks and 50 human-teleoperated demonstrations, and Table III reports the fine-tuned SpatialVLA per-suite success rates. Source: https://arxiv.org/pdf/2501.15830",high,weight-but-not-for-number,,"Official SpatialVLA GitHub and Hugging Face model zoo provide public SpatialVLA 4B pretraining, mix, Bridge SFT, and Fractal SFT safetensors. The tracked Table III LIBERO row is a separate SpatialVLA fine-tuned LIBERO evaluation, and no official LIBERO fine-tuned checkpoint matching those suite numbers was found.",high,"SpatialVLA evaluates on LIBERO Spatial, Object, Goal, and Long following OpenVLA fine-tuning and reports per-suite success rates. Sources: https://arxiv.org/abs/2501.15830 and RSS proceedings https://roboticsproceedings.org/rss21/p011.html.",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates using the usual suite/task success-rate protocol."
440,SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Models,2025,Robotics: Science and Systems XXI,Robotics: Science and Systems (RSS) 2025,Official RSS proceedings page https://roboticsproceedings.org/rss21/p011.html lists the paper in Robotics: Science and Systems XXI with DOI 10.15607/RSS.2025.XXI.011.,high,,n/a,duplicate arXiv suppressed until final dedupe,10.15607/rss.2025.xxi.011,"OpenAlex term search: ""2306.03310""; OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""","OpenAlex term search matched '""2306.03310""'; manual citation audit required.; OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.",manual-citation,https://doi.org/10.15607/rss.2025.xxi.011; https://openalex.org/W4414051092; audit note: Manual-citation/proceedings duplicate of ID 439; keep as the RSS proceedings identity if deduplicating versions.; audit note: row-level audit found duplicate arXiv 2501.15830 already present on row 439; final dedupe pending; audit note: duplicate of ID 439; not counted separately,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,"This RSS proceedings row is the same SpatialVLA work as the arXiv row. Official public SpatialVLA weights are available for pretraining, mix, Bridge SFT, and Fractal SFT models, but the tracked RSS/Table III LIBERO fine-tuned numbers do not have a corresponding official LIBERO fine-tuned checkpoint or file listing.",high,Duplicate proceedings/manual-citation identity for canonical SpatialVLA row ID 439; retained for source-audit coverage and not counted separately.,high,,
441,Spec-VLA: Speculative Decoding for Vision-Language-Action Models with Relaxed Acceptance,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing (EMNLP) 2025,ACL Anthology page https://aclanthology.org/2025.emnlp-main.1367/ lists the paper in Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing with DOI 10.18653/v1/2025.emnlp-main.1367.,high,2507.22424,2025-07-30,row-level public-source audit,10.18653/v1/2025.emnlp-main.1367,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; OpenAlex term search: ""LIBERO-Goal""; OpenAlex term search: ""LIBERO-Long""; OpenAlex term search: ""LIBERO-Object""; OpenAlex term search: ""LIBERO-Spatial""; OpenAlex term search: ""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Goal""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Long""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Object""'; manual citation audit required.; OpenAlex term search matched '""LIBERO-Spatial""'; manual citation audit required.; OpenAlex term search matched '""LIBERO: Benchmarking Knowledge Transfer for Lifelong Robot Learning""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,https://aclanthology.org/2025.emnlp-main.1367.pdf; https://arxiv.org/abs/2507.22424; https://doi.org/10.18653/v1/2025.emnlp-main.1367; https://doi.org/10.48550/arXiv.2507.22424; https://openalex.org/W4416035531; https://www.semanticscholar.org/paper/62bce1eb0a1d29a709c446530e89da51f4fd8c25; audit note: Input title has typo 'Spulative'; public title is 'Speculative Decoding'. Suite columns use the relaxed Spec-VLA row from Table 1.,reports-results,spatial; object; goal; long-10,500 expert demonstrations per suite across 10 tasks (50 per task implied).,"Table 1 reports Spec-VLA relaxed LIBERO SR/speedup: Goal 74.4 / 1.42x, Object 85.0 / 1.38x, Spatial 85.8 / 1.28x, Long 55.0 / 1.22x. The autoregressive baseline SRs are Goal 78.0, Object 89.0, Spatial 85.0, Long 52.0.",85.8,85.0,74.4,55.0,85.0,AR baseline,89.0,AR baseline,78.0,AR baseline,52.0,AR baseline,"The paper states it evaluates Spec-VLA on LIBERO Object, Spatial, Goal, and Long, each with 10 tasks and 500 expert demonstrations, using 50 trials per task; Table 1 reports SR and speedup. Source: https://arxiv.org/pdf/2507.22424",high,number-associated weight available,https://github.com/PineTreeWss/SpecVLA#draft-model-checkpoints-libero,"The official SpecVLA repository provides pretrained draft model checkpoint download links for LIBERO Goal, Object, Spatial, and LIBERO 10, and the evaluation commands use those draft checkpoints for Spec-VLA speculative decoding with relaxed acceptance. These are the result-producing additional checkpoints for the tracked LIBERO relaxed row.",high,Spec-VLA explicitly reports LIBERO simulation benchmark results across all four original suites. Sources: https://arxiv.org/abs/2507.22424 and https://aclanthology.org/2025.emnlp-main.1367/,high,official-ish,"Reports standard LIBERO Goal, Object, Spatial, and Long success rates while also reporting acceleration speedups."
442,SPECI: Skill Prompts Based Hierarchical Continual Imitation Learning for Robot Manipulation,2025,IEEE Transactions on Cognitive and Developmental Systems,IEEE Transactions on Cognitive and Developmental Systems,harvested source venue/status metadata,medium,2504.15561,2025-04-22,arXiv API first-published metadata,10.1109/TCDS.2025.3610492,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2504.15561; https://doi.org/10.1109/TCDS.2025.3610492; https://www.semanticscholar.org/paper/a339a67cc658447dd8623b790475c832c9de0049,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
443,SpecPrune-VLA: Accelerating Vision-Language-Action Models via Action-Aware Self-Speculative Pruning,2025,arXiv.org,n/a,n/a,n/a,2509.05614,2025-09-06,row-level public-source audit,10.48550/arXiv.2509.05614,Semantic Scholar citation graph: arXiv 2306.03310; arXiv API term search: all:LIBERO AND all:Spatial,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).; arXiv metadata matched query 'all:LIBERO AND all:Spatial'; manual citation audit required.,indexed-citation,"https://arxiv.org/abs/2509.05614; https://doi.org/10.48550/arXiv.2509.05614; https://www.semanticscholar.org/paper/e5e4c5f50fef44a34d1235659e2cdb6cf3db5a6b; audit note: Suite columns use the OpenVLA-OFT + Ours(alpha=0.8) row, not the pi0 acceleration row. No accepted venue found in free public sources.",reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports SpecPrune-VLA Ours(alpha=0.8) on OpenVLA-OFT: Spatial 97.4, Object 95.8, Goal 97.7, Long 93.4, Avg SR 96.1, Avg Speedup 1.46x, FLOPs 43%. It also reports pi0 + Ours(alpha=0.8): Spatial 96.6, Object 98.0, Goal 95.2, Long 84.2, Avg SR 93.5, Avg Speedup 1.31x.",97.4,95.8,97.7,93.4,99.0,VLA-Cache,98.8,pi0,97.9,OpenVLA-OFT,94.5,OpenVLA-OFT,"arXiv PDF https://arxiv.org/pdf/2509.05614, Sec. 7.1/Sec. 7.4 and Table 1; Appendix Tables 11-12 give prune-rate and stability ablations.",high,number-associated weight available,https://huggingface.co/moojink?search_models=oft,"The SpecPrune-VLA paper describes the method as training-free and reports the tracked Ours(alpha=0.8) row on OpenVLA-OFT. No SpecPrune-specific learned checkpoint is required; public OpenVLA-OFT LIBERO checkpoints are listed under moojink, including per-suite Spatial, Object, Goal, and LIBERO-10 models with action-head/projector files and safetensors shards. This base weight set directly underlies the tracked training-free result.",medium,"The paper evaluates SpecPrune-VLA on LIBERO-Spatial, Object, Goal, and Long and reports per-suite success rates and speedups in Table 1.",high,official-ish,"Reports standard original-suite LIBERO success rates for Spatial, Object, Goal, and Long alongside speedup metrics."
444,SRPO: Self-Referential Policy Optimization for Vision-Language-Action Models,2025,arXiv (Cornell University),arXiv preprint,arXiv abs https://arxiv.org/abs/2511.15605 lists first submission on 2025-11-19 and no journal_ref or accepted venue.,high,2511.15605,2025-11-19,row-level public-source audit,10.48550/arxiv.2511.15605,"OpenAlex term search: ""LIBERO benchmark"" robot; OpenAlex term search: ""LIBERO"" ""robot manipulation""; Semantic Scholar citation graph: arXiv 2306.03310","OpenAlex term search matched '""LIBERO benchmark"" robot'; manual citation audit required.; OpenAlex term search matched '""LIBERO"" ""robot manipulation""'; manual citation audit required.; Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).",indexed-citation,"http://arxiv.org/abs/2511.15605; https://arxiv.org/abs/2511.15605; https://arxiv.org/pdf/2511.15605; https://doi.org/10.48550/arXiv.2511.15605; https://doi.org/10.48550/arxiv.2511.15605; https://openalex.org/W7106319913; https://openalex.org/W7106476200; https://www.semanticscholar.org/paper/e9d3b2a3021b61f43b23a231a57bc981598fd14d; audit note: Table 2 also reports LIBERO-Plus robustness, which is not an original suite column.",reports-results,spatial; object; goal; long-10,1 demonstration per task (one-shot SFT baseline),"Table 1 reports OpenVLA*-One 63.6 Spatial, 54.9 Object, 59.6 Goal, 17.3 Long, 48.9 Avg; Offline SRPO 92.5/96.8/92.0/88.7, 92.5 Avg; Online SRPO 98.8/100.0/99.4/98.6, 99.2 Avg.",98.8,100.0,99.4,98.6,99.4,RLinf,99.8,3D-CAVLA / RLinf,98.8,SimpleVLA-RL / RLinf,96.1,3D-CAVLA,"arXiv PDF https://arxiv.org/pdf/2511.15605, Table 1 and Section 4.1.",high,number-associated weight available,https://huggingface.co/collections/Sylvest/srpo,"The SRPO paper links the Sylvest Hugging Face collection. The collection is described as the official SRPO SFT/RL model release and includes LIBERO Spatial, Object, Goal, and Long models; Hugging Face metadata for those models lists public safetensors shard files. These checkpoints are tied to the tracked Online SRPO LIBERO results.",high,"Abstract, Introduction, Section 4, and Table 1 evaluate SRPO on LIBERO Spatial/Object/Goal/Long and report success rates.",high,otherwise,Uses the original LIBERO suites but the tracked SRPO result is an intentionally one-shot/reduced-data evaluation rather than the standard data-budget protocol.
445,Stable Offline Hand-Eye Calibration for any Robot with Just One Mark,2025,arXiv.org,n/a,n/a,n/a,2511.17001,2025-11-21,arXiv API first-published metadata,10.48550/arXiv.2511.17001,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2511.17001; https://doi.org/10.48550/arXiv.2511.17001; https://www.semanticscholar.org/paper/94766b7a4a1dab2c77aac7f49e538402f4c3b927,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
446,StaMo: Unsupervised Learning of Generalizable Robot Motion from Compact State Representation,2025,arXiv.org,n/a,n/a,n/a,2510.05057,2025-10-06,arXiv API first-published metadata,10.48550/arXiv.2510.05057,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://arxiv.org/abs/2510.05057; https://doi.org/10.48550/arXiv.2510.05057; https://www.semanticscholar.org/paper/6a0c8d12cfb104722232f1011b07dbef4531d08c,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; no suite/result term was found in harvested metadata during the initial pass.,medium,,
